# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:(.)w_scf              25:(.)Om                 26:(.)Our                27:(.)Oscf               28:(.)OscfKin            29:(.)Otot               30:(.)rho_tot            31:(.)p_tot              32:(.)p_tot_prime        33:gr.fac. D             34:gr.fac. f             35:beta                  36:dbeta/dz           
       1.000000000000e+14       7.551816580179e-26       4.631147021428e-09       2.159456430289e+22       1.406980783868e+04       1.406980783868e-10       1.406980783868e+18       2.673590729091e-09       2.751560535470e+44       2.533504177634e+33       1.337405367376e+34       6.331470950076e+43       2.110490316692e+43       1.278544443680e+44       4.663252074316e+44       5.527812500000e+14       5.527812500000e+14      -2.387414049711e+23       1.568700000000e-07       3.325000000000e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.411258408914e-11       8.642262770538e-01       1.185398604216e-30       1.185398604216e-30       8.642262770879e-01       4.663252074316e+44       1.554417358052e+44      -1.342678623680e+53       5.504682963544e-06       2.000000000000e+00       7.071067811865e-05       0.000000000000e+00 
       9.893085837570e+13       7.715922889100e-26       4.680259735323e-09       2.113527974830e+22       1.406980783868e+04       1.422185966006e-10       1.391938166662e+18       2.702484111719e-09       2.635761930281e+44       2.453109625380e+33       1.294966082225e+34       6.065012881878e+43       2.021670960626e+43       1.224737281765e+44       4.467000500388e+44       5.552257086585e+14       5.552257086585e+14      -2.372333742699e+23       1.568700000167e-07       3.368356143303e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.448123734550e-11       8.642262770534e-01       1.242949734638e-30       1.242949734638e-30       8.642262770879e-01       4.467000500388e+44       1.489000166745e+44      -1.272421389488e+53       5.623022418744e-06       1.957908951332e+00       7.071067811865e-05       0.000000000000e+00 
       9.787314738953e+13       7.883595342459e-26       4.731191438623e-09       2.068576349925e+22       1.406980783868e+04       1.437555469907e-10       1.377056376338e+18       2.731689743818e-09       2.524836674885e+44       2.375266197411e+33       1.253873504059e+34       5.809768622077e+43       1.936589540692e+43       1.173194578226e+44       4.279008115467e+44       5.571948805349e+14       5.571948805349e+14      -2.355293934885e+23       1.568700000339e-07       3.410790165311e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.485387462597e-11       8.642262770531e-01       1.302158971190e-30       1.302158971190e-30       8.642262770880e-01       4.279008115467e+44       1.426336038439e+44      -1.205840447500e+53       5.741361873943e-06       1.917553042102e+00       7.071067811865e-05       0.000000000000e+00 
       9.682674483178e+13       8.054911436704e-26       4.782123141922e-09       2.024580779827e+22       1.406980783868e+04       1.453091071390e-10       1.362333693428e+18       2.761210999954e-09       2.418579675807e+44       2.299892940042e+33       1.214084898168e+34       5.565266240889e+43       1.855088746963e+43       1.123821034005e+44       4.098927334045e+44       5.587057983576e+14       5.587057983576e+14      -2.336430957992e+23       1.568700000514e-07       3.452321678228e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.523053897975e-11       8.642262770528e-01       1.363053679232e-30       1.363053679232e-30       8.642262770880e-01       4.098927334045e+44       1.366309111300e+44      -1.142743431413e+53       5.859701329142e-06       1.878827146433e+00       7.071067811865e-05       0.000000000000e+00 
       9.579152979933e+13       8.229950350697e-26       4.834873834625e-09       1.981520930661e+22       1.406980783868e+04       1.468794565465e-10       1.347768416850e+18       2.791051291063e-09       2.316794470871e+44       2.226911468459e+33       1.175558886208e+34       5.331053669553e+43       1.777017889851e+43       1.076525360680e+44       3.926425198646e+44       5.597755213623e+14       5.597755213623e+14      -2.315876809514e+23       1.568700000694e-07       3.492969877074e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.561127392764e-11       8.642262770525e-01       1.425662003074e-30       1.425662003074e-30       8.642262770881e-01       3.926425198646e+44       1.308808399502e+44      -1.082948040717e+53       5.978040784340e-06       1.841634462584e+00       7.071067811865e-05       0.000000000000e+00 
       9.476738268169e+13       8.408792983868e-26       4.885805537924e-09       1.939376901020e+22       1.406980783868e+04       1.484667766540e-10       1.333358863706e+18       2.821214064942e-09       2.219292865953e+44       2.156245885194e+33       1.138255402960e+34       5.106697864488e+43       1.702232621496e+43       1.031220111673e+44       3.761182764211e+44       5.604210759025e+14       5.604210759025e+14      -2.293759010104e+23       1.568700000877e-07       3.532753548619e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.599612346314e-11       8.642262770521e-01       1.490012879021e-30       1.490012879021e-30       8.642262770881e-01       3.761182764211e+44       1.253727588025e+44      -1.026281513991e+53       6.096380239539e-06       1.805885705056e+00       7.071067811865e-05       0.000000000000e+00 
       9.375418514718e+13       8.591521993680e-26       4.938556230627e-09       1.898129212774e+22       1.406980783868e+04       1.500712508631e-10       1.319103369093e+18       2.851702806648e-09       2.125894587024e+44       2.087822701203e+33       1.102135654515e+34       4.891784006623e+43       1.630594668874e+43       9.878215205701e+43       3.602894508387e+44       5.606594024357e+14       5.606594024357e+14      -2.270200500403e+23       1.568700001065e-07       3.571691080073e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.638513205379e-11       8.642262770518e-01       1.556136048753e-30       1.556136048753e-30       8.642262770882e-01       3.602894508387e+44       1.200964836085e+44      -9.725801297552e+52       6.214719694738e-06       1.771498388977e+00       7.071067811865e-05       0.000000000000e+00 
       9.275182012925e+13       8.778221833852e-26       4.993125912733e-09       1.857758802063e+22       1.406980783868e+04       1.516930645574e-10       1.305000285907e+18       2.882521038903e-09       2.036426946831e+44       2.021570759434e+33       1.067162077925e+34       4.685914734423e+43       1.561971578141e+43       9.462493462411e+43       3.451267766642e+44       5.605073083903e+14       5.605073083903e+14      -2.245319572881e+23       1.568700001257e-07       3.609800467603e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.677834464590e-11       8.642262770515e-01       1.624062073097e-30       1.624062073097e-30       8.642262770882e-01       3.451267766642e+44       1.150422588838e+44      -9.216887334514e+52       6.333059149937e-06       1.738396194718e+00       7.071067811865e-05       0.000000000000e+00 
       9.176017181296e+13       8.968978793422e-26       5.045876605436e-09       1.818247010485e+22       1.406980783868e+04       1.533324051241e-10       1.291047984653e+18       2.913672322497e-09       1.950724525616e+44       1.957421160831e+33       1.033298302135e+34       4.488709409196e+43       1.496236469732e+43       9.064267244805e+43       3.306022191139e+44       5.599814264154e+14       5.599814264154e+14      -2.219229834448e+23       1.568700001452e-07       3.647099324638e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.717580666918e-11       8.642262770511e-01       1.693822346131e-30       1.693822346131e-30       8.642262770883e-01       3.306022191139e+44       1.102007397005e+44      -8.734602891641e+52       6.451398605135e-06       1.706508402443e+00       7.071067811865e-05       0.000000000000e+00 
       9.077912562158e+13       9.163881036428e-26       5.100446287543e-09       1.779575576478e+22       1.406980783868e+04       1.549894619754e-10       1.277244853259e+18       2.945160256702e-09       1.868628865258e+44       1.895307192681e+33       1.000509110377e+34       4.299803411315e+43       1.433267803772e+43       8.682800258898e+43       3.166889232398e+44       5.590981775713e+14       5.590981775713e+14      -2.192040196129e+23       1.568700001652e-07       3.683604889956e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.757756404837e-11       8.642262770508e-01       1.765449109655e-30       1.765449109655e-30       8.642262770883e-01       3.166889232398e+44       1.055629744093e+44      -8.277554548050e+52       6.569738060334e-06       1.675769387770e+00       7.071067811865e-05       0.000000000000e+00 
