# Matter power spectrum P(k) at redshift z=0
# for k=1.03205e-05 to 167.726 h/Mpc,
# number of wavenumbers equal to 627
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032046293901e-05       4.849693776962e+01 
       2.300683923731e-05       1.055521402623e+02 
       3.573656822930e-05       1.618128637126e+02 
       4.854287129140e-05       2.178016166378e+02 
       6.145950357569e-05       2.738275771025e+02 
       7.452104600425e-05       3.301299536666e+02 
       8.776320634053e-05       3.869180220670e+02 
       1.012231332307e-04       4.443873771063e+02 
       1.149397471387e-04       5.027297975922e+02 
       1.289540921310e-04       5.621375799484e+02 
       1.433097124774e-04       6.228078779468e+02 
       1.580530579922e-04       6.849460432699e+02 
       1.732339218979e-04       7.487673957672e+02 
       1.889059146972e-04       8.145009348856e+02 
       2.051269769997e-04       8.823907919117e+02 
       2.219599333672e-04       9.526997457275e+02 
       2.394730878719e-04       1.025711367010e+03 
       2.577408600224e-04       1.101731835377e+03 
       2.768444567846e-04       1.181093399574e+03 
       2.968725723212e-04       1.264157363441e+03 
       3.179221014923e-04       1.351315595389e+03 
       3.400988457333e-04       1.442993375081e+03 
       3.635181803335e-04       1.539652437877e+03 
       3.883056401082e-04       1.641788988438e+03 
       4.145973659236e-04       1.749938146610e+03 
       4.425403377955e-04       1.864670349265e+03 
       4.722923022585e-04       1.986589093387e+03 
       5.040212842068e-04       2.116327244666e+03 
       5.379045595170e-04       2.254536632089e+03 
       5.741269589920e-04       2.401879409415e+03 
       6.128783824900e-04       2.559012189446e+03 
       6.543504313686e-04       2.726569015262e+03 
       6.987321239636e-04       2.905138911496e+03 
       7.462047463595e-04       3.095243198843e+03 
       7.969360069433e-04       3.297315328954e+03 
       8.510737970911e-04       3.511674499215e+03 
       9.087399903518e-04       3.738515069287e+03 
       9.700248087933e-04       3.977888807915e+03 
       1.034982315906e-03       4.229700780556e+03 
       1.103627537169e-03       4.493703882198e+03 
       1.175935557768e-03       4.769498618073e+03 
       1.251842723071e-03       5.056531736551e+03 
       1.331249814473e-03       5.354081925209e+03 
       1.414026844457e-03       5.661295703782e+03 
       1.500018956250e-03       5.977233761353e+03 
       1.589052850273e-03       6.300850073453e+03 
       1.680943190376e-03       6.631059869220e+03 
       1.775498544428e-03       6.966782847913e+03 
       1.872526552716e-03       7.306978789333e+03 
       1.971838160796e-03       7.650662388087e+03 
       2.073250877260e-03       7.996906834798e+03 
       2.176591108685e-03       8.344843123422e+03 
       2.281695681574e-03       8.693658579364e+03 
       2.388412688721e-03       9.042607237065e+03 
       2.496601802506e-03       9.391023207358e+03 
       2.606134188135e-03       9.738324198332e+03 
       2.716892132295e-03       1.008401591980e+04 
       2.828768482244e-03       1.042768290382e+04 
       2.941665970060e-03       1.076897098023e+04 
       3.055496478525e-03       1.110758106458e+04 
       3.170180289688e-03       1.144325667260e+04 
       3.285645344725e-03       1.177577702980e+04 
       3.401826534032e-03       1.210495250611e+04 
       3.518665029222e-03       1.243062392350e+04 
       3.636107663382e-03       1.275265234407e+04 
       3.754106362190e-03       1.307091282169e+04 
       3.872617625906e-03       1.338529733870e+04 
       3.991602060571e-03       1.369570357392e+04 
       4.111023955719e-03       1.400202999206e+04 
       4.230850905288e-03       1.430418375461e+04 
       4.351053468208e-03       1.460207540515e+04 
       4.471604865048e-03       1.489563035893e+04 
       4.592480707249e-03       1.518477956221e+04 
       4.713658755615e-03       1.546946961401e+04 
       4.835118704981e-03       1.574965684696e+04 
       4.956841992246e-03       1.602531457231e+04 
       5.078811625183e-03       1.629641255116e+04 
       5.201012029733e-03       1.656297254229e+04 
       5.323428913691e-03       1.682498077594e+04 
       5.446049144954e-03       1.708246494437e+04 
       5.568860642667e-03       1.733546799534e+04 
       5.691852279824e-03       1.758401671752e+04 
       5.815013796020e-03       1.782816425430e+04 
       5.938335719228e-03       1.806796181123e+04 
       6.061809295569e-03       1.830345064098e+04 
       6.185426426206e-03       1.853468002115e+04 
       6.309179610566e-03       1.876169704504e+04 
       6.433061895187e-03       1.898453661712e+04 
       6.557066827594e-03       1.920323893195e+04 
       6.681188414645e-03       1.941784036647e+04 
       6.805421084879e-03       1.962836191958e+04 
       6.929759654436e-03       1.983483089853e+04 
       7.054199296170e-03       2.003727293257e+04 
       7.178735511636e-03       2.023570209756e+04 
       7.303364105637e-03       2.043014511141e+04 
       7.428081163085e-03       2.062063680819e+04 
       7.552883027932e-03       2.080719935239e+04 
       7.677766283971e-03       2.098985683297e+04 
       7.802727737316e-03       2.116865418411e+04 
       7.927764400406e-03       2.134362715919e+04 
       8.052873477372e-03       2.151480664677e+04 
       8.178052350647e-03       2.168225540580e+04 
       8.303298568705e-03       2.184601953227e+04 
       8.428609834802e-03       2.200614984272e+04 
       8.553983996657e-03       2.216268415937e+04 
       8.679419036961e-03       2.231567899848e+04 
       8.804913064646e-03       2.246517909957e+04 
       8.930464306861e-03       2.261123014407e+04 
       9.056071101568e-03       2.275387839218e+04 
       9.181731890719e-03       2.289315937927e+04 
       9.307445213960e-03       2.302910662089e+04 
       9.433209702824e-03       2.316176298877e+04 
       9.559024075348e-03       2.329115637341e+04 
       9.684887131112e-03       2.341731466534e+04 
       9.810797746641e-03       2.354027357602e+04 
       9.936754871142e-03       2.366006024556e+04 
       1.006275752256e-02       2.377670148686e+04 
       1.018880478393e-02       2.389023153470e+04 
       1.031489579996e-02       2.400067105104e+04 
       1.044102977392e-02       2.410807111696e+04 
       1.056720596466e-02       2.421244703965e+04 
       1.069342368396e-02       2.431385261302e+04 
       1.081968229395e-02       2.441230368224e+04 
       1.094598120481e-02       2.450785409303e+04 
       1.107231987254e-02       2.460053792213e+04 
       1.119869779696e-02       2.469038610404e+04 
       1.132511451983e-02       2.477744770744e+04 
       1.145156962305e-02       2.486174717116e+04 
       1.157806272708e-02       2.494332557982e+04 
       1.170459348938e-02       2.502221214024e+04 
       1.183116160300e-02       2.509844545780e+04 
       1.195776679527e-02       2.517205527970e+04 
       1.208440882659e-02       2.524307094894e+04 
       1.221108748925e-02       2.531152091849e+04 
