# Matter power spectrum P(k) at redshift z=0
# for k=1.03205e-05 to 167.726 h/Mpc,
# number of wavenumbers equal to 627
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032046293901e-05       4.849694778700e+01 
       2.300683923731e-05       1.055521876049e+02 
       3.573656822930e-05       1.618129735833e+02 
       4.854287129140e-05       2.178018123558e+02 
       6.145950357569e-05       2.738278804328e+02 
       7.452104600425e-05       3.301303850286e+02 
       8.776320634053e-05       3.869186006676e+02 
       1.012231332307e-04       4.443881210126e+02 
       1.149397471387e-04       5.027307237464e+02 
       1.289540921310e-04       5.621387041217e+02 
       1.433097124774e-04       6.228092146267e+02 
       1.580530579922e-04       6.849476054680e+02 
       1.732339218979e-04       7.487691947329e+02 
       1.889059146972e-04       8.145029797038e+02 
       2.051269769997e-04       8.823930889556e+02 
       2.219599333672e-04       9.527022979293e+02 
       2.394730878719e-04       1.025714172901e+03 
       2.577408600224e-04       1.101734887836e+03 
       2.768444567846e-04       1.181096684203e+03 
       2.968725723212e-04       1.264160856464e+03 
       3.179221014923e-04       1.351319260943e+03 
       3.400988457333e-04       1.442997161734e+03 
       3.635181803335e-04       1.539656274155e+03 
       3.883056401082e-04       1.641792777112e+03 
       4.145973659236e-04       1.749941757387e+03 
       4.425403377955e-04       1.864673609504e+03 
       4.722923022585e-04       1.986591776330e+03 
       5.040212842068e-04       2.116329054607e+03 
       5.379045595170e-04       2.254537185829e+03 
       5.741269589920e-04       2.401878213202e+03 
       6.128783824900e-04       2.559008610636e+03 
       6.543504313686e-04       2.726562247831e+03 
       6.987321239636e-04       2.905127934690e+03 
       7.462047463595e-04       3.095226728314e+03 
       7.969360069433e-04       3.297291759958e+03 
       8.510737970911e-04       3.511641842019e+03 
       9.087399903518e-04       3.738470876993e+03 
       9.700248087933e-04       3.977830097966e+03 
       1.034982315906e-03       4.229623951336e+03 
       1.103627537169e-03       4.493604627100e+03 
       1.175935557768e-03       4.769371839729e+03 
       1.251842723071e-03       5.056371464583e+03 
       1.331249814473e-03       5.353881241899e+03 
       1.414026844457e-03       5.661046678419e+03 
