# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03233e-05 to 167.815 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.032330878311e-05       1.939629295318e+07       1.957610979868e+07       2.608797326522e+07       2.608751485475e+07       1.957157595211e+07       5.882542961338e+06 
       2.301432962598e-05       1.939646199701e+07       1.957597781037e+07       2.603423993951e+07       2.603196557028e+07       1.957129346990e+07       5.882530573396e+06 
       3.574874831192e-05       1.939675002990e+07       1.957572972202e+07       2.593943156342e+07       2.593396069505e+07       1.957077922998e+07       5.882504829737e+06 
       4.855982284314e-05       1.939716222665e+07       1.957537302082e+07       2.580315032855e+07       2.579310011564e+07       1.957003842679e+07       5.882467512924e+06 
       6.148134595326e-05       1.939770293602e+07       1.957490316653e+07       2.562474255033e+07       2.560872536919e+07       1.956906300288e+07       5.882418499200e+06 
       7.454793764011e-05       1.939837693659e+07       1.957431702003e+07       2.540332036271e+07       2.537994221369e+07       1.956784501438e+07       5.882357758329e+06 
       8.779534679828e-05       1.939917941941e+07       1.957361050094e+07       2.513776404090e+07       2.510562338845e+07       1.956637420581e+07       5.882283194623e+06 
       1.012607658544e-04       1.940012675166e+07       1.957277546532e+07       2.482672439441e+07       2.478441276293e+07       1.956463477483e+07       5.882196241590e+06 
       1.149831623390e-04       1.940121270867e+07       1.957180554870e+07       2.446864060902e+07       2.441474493009e+07       1.956261107499e+07       5.882093983995e+06 
       1.290036313604e-04       1.940245179667e+07       1.957069067640e+07       2.406174677896e+07       2.399485473892e+07       1.956028194976e+07       5.881976964272e+06 
       1.433657729580e-04       1.940384937963e+07       1.956942067050e+07       2.360409971125e+07       2.352280633435e+07       1.955762413021e+07       5.881843804567e+06 
       1.581160982668e-04       1.940540921873e+07       1.956798299852e+07       2.309360406988e+07       2.299652421211e+07       1.955460972492e+07       5.881692486813e+06 
       1.733044682872e-04       1.940714310811e+07       1.956636355192e+07       2.252805800622e+07       2.241384135798e+07       1.955120669714e+07       5.881522181973e+06 
