# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.076063183789e+03       6.305347845444e-02       1.630321088861e-06       3.696771511331e+00       4.936512089625e-08       3.219132395930e-03      -1.738956897212e-05 
    3       1.010199574883e+03       1.144183385251e-01       3.262834764790e-06       4.825304403118e+00       6.133280122729e-08       3.252220701105e-03      -2.241814794400e-05 
    4       9.458044167395e+02       1.435607520749e-01       5.442846694010e-06       5.152143178492e+00       7.123557211374e-08       3.197310908308e-03      -2.403564503725e-05 
    5       8.944694777500e+02       1.436981898261e-01       8.173050760542e-06       4.967341635685e+00       7.985949388083e-08       3.108999936856e-03      -2.298629982706e-05 
    6       8.559310049675e+02       1.210399762504e-01       1.145662454617e-05       4.492921324081e+00       8.742688250558e-08       3.005752672251e-03      -1.990061947387e-05 
    7       8.280523740440e+02       8.803091461474e-02       1.529711420479e-05       3.889092083425e+00       9.407810353807e-08       2.896847701218e-03      -1.549255207068e-05 
    8       8.091273965560e+02       5.636913600139e-02       1.969830709384e-05       3.255843784051e+00       9.996337327995e-08       2.786907161630e-03      -1.048111429405e-05 
    9       7.967977549872e+02       3.306686238284e-02       2.466409730049e-05       2.657058608959e+00       1.052281472887e-07       2.678302570614e-03      -5.527876918447e-06 
   10       7.899288681974e+02       1.974760557406e-02       3.019834948101e-05       2.134021560470e+00       1.100002969066e-07       2.573758884229e-03      -1.175034631284e-06 
   11       7.874485695762e+02       1.423066704464e-02       3.630476649087e-05       1.711551475336e+00       1.111949755238e-07       2.480745229874e-03       2.168133277859e-06 
   12       7.880078856398e+02       1.291939284852e-02       4.298676611905e-05       1.401571249018e+00       1.148420146837e-07       2.383152935714e-03       4.354744801889e-06 
   13       7.914219706808e+02       1.275540786564e-02       5.024737185866e-05       1.203087874447e+00       1.181065610935e-07       2.292088332806e-03       5.343406175053e-06 
   14       7.966716860209e+02       1.213772908350e-02       5.808912206315e-05       1.104381634481e+00       1.210336816054e-07       2.211164936668e-03       5.247595878285e-06 
   15       8.036217534597e+02       1.085143087768e-02       6.651400107639e-05       1.086518773229e+00       1.236591489304e-07       2.131512881579e-03       4.263892133491e-06 
   16       8.118880894456e+02       9.442138168285e-03       7.552339501673e-05       1.126005519459e+00       1.260128194292e-07       2.059022658162e-03       2.691816078971e-06 
   17       8.210020240369e+02       8.529902384463e-03       8.511807387718e-05       1.200196942907e+00       1.281214667811e-07       1.991815901202e-03       8.400951145394e-07 
   18       8.310879039636e+02       8.396847157442e-03       9.529818756060e-05       1.288490716234e+00       1.299585035048e-07       1.927953184839e-03      -9.937703765198e-07 
   19       8.421348431310e+02       8.874938036307e-03       1.060633660056e-04       1.377457018327e+00       1.316949003530e-07       1.869514935720e-03      -2.588684775725e-06 
   20       8.536354825142e+02       9.590238183401e-03       1.174126377409e-04       1.454299721331e+00       1.331901528429e-07       1.814538940502e-03      -3.756302994203e-06 
   21       8.656737928561e+02       1.026326854825e-02       1.293447013954e-04       1.514569807366e+00       1.345324425137e-07       1.762011631680e-03      -4.408009105377e-06 
   22       8.782871869809e+02       1.066463093266e-02       1.418578274007e-04       1.557334317371e+00       1.356968486292e-07       1.708897253378e-03      -4.543901678959e-06 
   23       8.914044282153e+02       1.089003052842e-02       1.549501782588e-04       1.584536054464e+00       1.367540969472e-07       1.657245268385e-03      -4.218057484472e-06 
   24       9.047861716278e+02       1.117090880601e-02       1.686197099386e-04       1.600075056306e+00       1.376554530475e-07       1.609466642804e-03      -3.556145984685e-06 
   25       9.185039224717e+02       1.170741282650e-02       1.828645430260e-04       1.608712963627e+00       1.384556018765e-07       1.565858655512e-03      -2.687217085766e-06 
   26       9.326002384058e+02       1.267587694525e-02       1.976828412853e-04       1.615994932543e+00       1.391325142840e-07       1.524468736100e-03      -1.774671291229e-06 
   27       9.469934678142e+02       1.407563727476e-02       2.130731365175e-04       1.626008378090e+00       1.397136824280e-07       1.484065959382e-03      -9.538847042757e-07 
   28       9.615069065526e+02       1.583920963821e-02       2.290342525032e-04       1.642103993610e+00       1.401632657607e-07       1.443027948245e-03      -3.533034013306e-07 
   29       9.761947219894e+02       1.791926261980e-02       2.455656745209e-04       1.664788980058e+00       1.405549711389e-07       1.402523126339e-03      -2.153409988808e-08 
   30       9.911079030325e+02       2.025826593762e-02       2.626673518476e-04       1.693258955416e+00       1.409090442093e-07       1.364252721658e-03       3.443759741770e-08 
   31       1.006225920354e+03       2.279346388275e-02       2.803396997911e-04       1.725865012366e+00       1.411444253916e-07       1.329265200243e-03      -1.663363542378e-07 
   32       1.021574166769e+03       2.552094723265e-02       2.985838380040e-04       1.759600044793e+00       1.413062519296e-07       1.297711713592e-03      -5.759383188795e-07 
