# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.095921083557e+03       6.294042632138e-02       0.000000000000e+00       3.622281321319e+00       4.910391364692e-08       3.294348407219e-03      -1.724405340093e-05 
    3       1.024528232805e+03       1.137241478314e-01       0.000000000000e+00       4.694622178273e+00       6.103854575900e-08       3.330242669023e-03      -2.216437018079e-05 
    4       9.557380223049e+02       1.424373509539e-01       0.000000000000e+00       4.987283792570e+00       7.095409491044e-08       3.274989067598e-03      -2.371629958976e-05 
    5       9.011153709966e+02       1.425163483267e-01       0.000000000000e+00       4.795850818729e+00       7.951031951303e-08       3.185879572071e-03      -2.264748073015e-05 
    6       8.603387648361e+02       1.201147142538e-01       0.000000000000e+00       4.338502815546e+00       8.703831760557e-08       3.082656630743e-03      -1.958186568733e-05 
    7       8.311871226353e+02       8.748653989262e-02       0.000000000000e+00       3.765263821754e+00       9.370734624638e-08       2.972749084640e-03      -1.521659052797e-05 
    8       8.107978156082e+02       5.616686472391e-02       0.000000000000e+00       3.169034263643e+00       9.961852146005e-08       2.860367291222e-03      -1.025259143658e-05 
    9       7.977506943099e+02       3.310555401042e-02       0.000000000000e+00       2.606917572662e+00       1.049163038606e-07       2.749715811514e-03      -5.336211368514e-06 
   10       7.905040567760e+02       1.994681466441e-02       0.000000000000e+00       2.114516125672e+00       1.097237783217e-07       2.643460651754e-03      -9.995650184760e-07 
   11       7.874711834772e+02       1.455434303048e-02       0.000000000000e+00       1.714737390052e+00       1.110370999967e-07       2.544452364947e-03       2.340642765750e-06 
   12       7.881016759786e+02       1.335052905039e-02       0.000000000000e+00       1.418428548684e+00       1.147267619397e-07       2.446656110326e-03       4.567388238526e-06 
   13       7.912502201665e+02       1.325692906007e-02       0.000000000000e+00       1.225576993733e+00       1.180365773436e-07       2.353491948434e-03       5.597139982118e-06 
   14       7.964093923994e+02       1.263411289947e-02       0.000000000000e+00       1.126522125590e+00       1.210063721471e-07       2.266418903852e-03       5.536357105675e-06 
   15       8.033067119294e+02       1.124563768754e-02       0.000000000000e+00       1.103947328650e+00       1.236733943451e-07       2.187814762565e-03       4.600246931186e-06 
   16       8.113657622953e+02       9.651183977644e-03       0.000000000000e+00       1.137557535790e+00       1.260689137039e-07       2.115760867798e-03       3.061531647801e-06 
   17       8.206448714922e+02       8.515621165455e-03       0.000000000000e+00       1.205894686345e+00       1.282189531917e-07       2.045912601730e-03       1.213494341577e-06 
   18       8.307391235461e+02       8.180849989252e-03       0.000000000000e+00       1.288238442050e+00       1.300960379261e-07       1.980399300628e-03      -6.422779979681e-07 
   19       8.416106540294e+02       8.516450680458e-03       0.000000000000e+00       1.372013427781e+00       1.318703691600e-07       1.920393752816e-03      -2.281463968820e-06 
   20       8.530055783260e+02       9.172401907757e-03       0.000000000000e+00       1.445522108018e+00       1.334026346211e-07       1.860975341645e-03      -3.511190303672e-06 
   21       8.649677553290e+02       9.849828393431e-03       0.000000000000e+00       1.503885161174e+00       1.347808937586e-07       1.804190893907e-03      -4.236856998809e-06 
   22       8.774108531279e+02       1.027835901020e-02       0.000000000000e+00       1.545213714004e+00       1.359800259107e-07       1.752191901373e-03      -4.450098591295e-06 
   23       8.903208895605e+02       1.052147777607e-02       0.000000000000e+00       1.571552041881e+00       1.370705122592e-07       1.704330848579e-03      -4.195807280205e-06 
   24       9.035518125537e+02       1.078199629799e-02       0.000000000000e+00       1.587126290485e+00       1.380037613985e-07       1.656874726180e-03      -3.590973193427e-06 
   25       9.170734834679e+02       1.125873135258e-02       0.000000000000e+00       1.596286368737e+00       1.388347131786e-07       1.609251346689e-03      -2.766259833601e-06 
   26       9.307980692053e+02       1.213837417443e-02       0.000000000000e+00       1.603939692528e+00       1.395418593771e-07       1.561260266170e-03      -1.889660148944e-06 
   27       9.447754336024e+02       1.343547467885e-02       0.000000000000e+00       1.614082595798e+00       1.401525749710e-07       1.515265257074e-03      -1.085888134608e-06 
   28       9.590236751476e+02       1.509897050747e-02       0.000000000000e+00       1.630155217119e+00       1.406307037034e-07       1.473706877544e-03      -4.691211544246e-07 
   29       9.735714328490e+02       1.708396545044e-02       0.000000000000e+00       1.652743572904e+00       1.410498478935e-07       1.436763016622e-03      -9.305647851750e-08 
   30       9.883550780417e+02       1.933050417203e-02       0.000000000000e+00       1.681139658176e+00       1.414303305164e-07       1.402347237995e-03       1.848104584744e-08 
   31       1.003241740043e+03       2.177274264729e-02       0.000000000000e+00       1.713833998048e+00       1.416912740728e-07       1.367248665190e-03      -1.359123225418e-07 
   32       1.018279582511e+03       2.440456087575e-02       0.000000000000e+00       1.748047620506e+00       1.418778161167e-07       1.332009713544e-03      -5.135679741599e-07 
   33       1.033523737967e+03       2.723790581149e-02       0.000000000000e+00       1.779886052191e+00       1.420187675823e-07       1.298229404088e-03      -1.029273339164e-06 
   34       1.048976096879e+03       3.027849601334e-02       0.000000000000e+00       1.804952316357e+00       1.420778635734e-07       1.267096284823e-03      -1.572319212951e-06 
   35       1.064630732024e+03       3.350001659710e-02       0.000000000000e+00       1.820351417006e+00       1.420872195999e-07       1.238565517939e-03      -2.074950076303e-06 
   36       1.080431616121e+03       3.686011215163e-02       0.000000000000e+00       1.823317317064e+00       1.420535855622e-07       1.211561769758e-03      -2.471502415881e-06 
   37       1.096300031144e+03       4.032149550422e-02       0.000000000000e+00       1.811264060963e+00       1.419374918642e-07       1.184585755621e-03      -2.695566569875e-06 
   38       1.112294185193e+03       4.390328239779e-02       0.000000000000e+00       1.783864152312e+00       1.417775655212e-07       1.157804756921e-03      -2.737124336541e-06 
