# Matter power spectrum P(k) at redshift z=0
# for k=1.02929e-05 to 163.123 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029287750344e-05       4.820215970178e+01 
       2.306408629449e-05       1.054452792943e+02 
       3.587926851773e-05       1.619063115104e+02 
       4.877231764121e-05       2.181242540246e+02 
       6.177767675510e-05       2.744225074162e+02 
       7.493064049969e-05       3.310541748265e+02 
       8.826766647070e-05       3.882432223660e+02 
       1.018267001798e-04       4.462015369215e+02 
       1.156475176793e-04       5.051380231388e+02 
       1.297720899936e-04       5.652644117167e+02 
       1.442449735085e-04       6.267994658055e+02 
       1.591137304203e-04       6.899724091674e+02 
       1.744293831923e-04       7.550262795202e+02 
       1.902469066377e-04       8.222207906975e+02 
       2.066257606630e-04       8.918353735647e+02 
       2.236304657464e-04       9.641721836742e+02 
       2.413312217319e-04       1.039559321902e+03 
       2.598045683113e-04       1.118353753550e+03 
       2.791340823782e-04       1.200944446494e+03 
       2.994111029921e-04       1.287755327742e+03 
       3.207354686251e-04       1.379247681543e+03 
       3.432162433231e-04       1.475922213060e+03 
       3.669723980279e-04       1.578320022000e+03 
       3.921334003248e-04       1.687021845412e+03 
       4.188396502575e-04       1.802646063295e+03 
       4.472426819870e-04       1.925843242581e+03 
       4.775050320361e-04       2.057287658207e+03 
       5.097996567796e-04       2.197665069639e+03 
       5.443087681852e-04       2.347656245389e+03 
       5.812219526636e-04       2.507916665292e+03 
       6.207334498025e-04       2.679053679960e+03 
       6.630385030907e-04       2.861603410553e+03 
       7.083287599620e-04       3.056012064929e+03 
       7.567867966029e-04       3.262623544466e+03 
       8.085799700491e-04       3.481680224676e+03 
       8.638539422511e-04       3.713335229832e+03 
       9.227263530985e-04       3.957671455977e+03 
       9.852812088663e-04       4.214720213521e+03 
       1.051564566164e-03       4.484458633517e+03 
       1.121582007779e-03       4.766779860208e+03 
       1.195298226958e-03       5.061429558786e+03 
       1.272638789155e-03       5.367932960371e+03 
       1.353493875101e-03       5.685522483292e+03 
       1.437723582752e-03       6.013201947737e+03 
       1.525164222992e-03       6.349819890204e+03 
       1.615635004368e-03       6.694175041743e+03 
       1.708944557460e-03       7.045146587435e+03 
       1.804896870773e-03       7.401739155049e+03 
       1.903296360590e-03       7.763035787685e+03 
       2.003951944269e-03       8.128118455002e+03 
       2.106680107721e-03       8.496021927160e+03 
       2.211307043597e-03       8.865773073222e+03 
       2.317669987009e-03       9.236473351677e+03 
       2.425617896367e-03       9.607372585287e+03 
       2.535011626577e-03       9.977861160826e+03 
       2.645723728360e-03       1.034740291198e+04 
       2.757637987539e-03       1.071546861097e+04 
       2.870648796326e-03       1.108153069448e+04 
       2.984660427864e-03       1.144510815277e+04 
       3.099586267052e-03       1.180582004888e+04 
       3.215348035559e-03       1.216337695613e+04 
       3.331875036941e-03       1.251754253202e+04 
       3.449103438556e-03       1.286806830305e+04 
