#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.090225608898e+00       1.551095746116e-05      -1.658205543817e-03      -9.718713784258e-08       3.922317878861e-08       9.805794697152e-08       1.021070905901e-13       1.961158939430e-08      -1.243654157863e-03      -9.718713784248e-08       6.010715129380e-01       6.968872475191e-01      -1.658205543770e-03      -1.457363760004e-07       2.008513487374e-04      -1.243654157933e-03       1.756292360042e-36      -1.659913938014e-03      -1.458866849927e-07       2.010580576857e-04       3.333325967300e-01      -1.020418853947e-09      -3.132806394090e-20 
       7.090226336469e+00       1.551095907335e-05      -1.658205882260e-03      -9.718716758029e-08       3.922319094691e-08       9.805797736729e-08       1.021071434668e-13       1.961159547346e-08      -1.243654411695e-03      -9.718716758010e-08       6.010715129321e-01       6.968872472104e-01      -1.658205882165e-03      -1.457364207754e-07       2.008513898493e-04      -1.243654411836e-03       7.573547282076e-36      -1.659914276757e-03      -1.458867298137e-07       2.010580988397e-04       3.333325967298e-01      -2.040837603833e-09      -9.887506787311e-20 
       7.090227064041e+00       1.551096068554e-05      -1.658206220702e-03      -9.718719731801e-08       3.922320310522e-08       9.805800776306e-08       1.021071963435e-13       1.961160155261e-08      -1.243654665527e-03      -9.718719731772e-08       6.010715129262e-01       6.968872469017e-01      -1.658206220561e-03      -1.457364655504e-07       2.008514309611e-04      -1.243654665739e-03       1.988485216459e-35      -1.659914615501e-03      -1.458867746347e-07       2.010581399938e-04       3.333325967296e-01      -3.061256247388e-09      -2.034045630784e-19 
       7.090234339757e+00       1.551097680744e-05      -1.658209605132e-03      -9.718749469571e-08       3.922332468835e-08       9.805831172088e-08       1.021077251116e-13       1.961166234418e-08      -1.243657203849e-03      -9.718749469448e-08       6.010715128675e-01       6.968872438154e-01      -1.658209604520e-03      -1.457369133009e-07       2.008518420799e-04      -1.243657204769e-03       2.527798483704e-33      -1.659918002938e-03      -1.458872228453e-07       2.010585515342e-04       3.333325967281e-01      -1.326543339824e-08      -4.439238796535e-18 
       7.090241615474e+00       1.551099292934e-05      -1.658212989566e-03      -9.718779207400e-08       3.922344627174e-08       9.805861567935e-08       1.021082538818e-13       1.961172313587e-08      -1.243659742174e-03      -9.718779207183e-08       6.010715128089e-01       6.968872407290e-01      -1.658212988483e-03      -1.457373610523e-07       2.008522531991e-04      -1.243659743801e-03       9.818211413586e-33      -1.659921390379e-03      -1.458876710568e-07       2.010589630751e-04       3.333325967266e-01      -2.346960011628e-08      -1.230597387839e-17 
       7.090248891190e+00       1.551100905124e-05      -1.658216374003e-03      -9.718808945289e-08       3.922356785538e-08       9.805891963845e-08       1.021087826543e-13       1.961178392769e-08      -1.243662280502e-03      -9.718808944978e-08       6.010715127502e-01       6.968872376426e-01      -1.658216372448e-03      -1.457378088046e-07       2.008526643187e-04      -1.243662282835e-03       2.433951159815e-32      -1.659924777823e-03      -1.458881192692e-07       2.010593746163e-04       3.333325967251e-01      -3.367375619727e-08      -2.387235502782e-17 
       7.090277427816e+00       1.551107228414e-05      -1.658229648384e-03      -9.718925583006e-08       3.922404473025e-08       9.806011182562e-08       1.021108566138e-13       1.961202236512e-08      -1.243672236288e-03      -9.718925582324e-08       6.010715125184e-01       6.968872255357e-01      -1.658229644982e-03      -1.457395649754e-07       2.008542768053e-04      -1.243672241395e-03       2.016398946916e-31      -1.659938063998e-03      -1.458898772445e-07       2.010609887566e-04       3.333325967190e-01      -7.369613845745e-08      -1.023244963693e-16 
       7.090305964443e+00       1.551113551705e-05      -1.658242922816e-03      -9.719042221628e-08       3.922452160912e-08       9.806130402280e-08       1.021129306075e-13       1.961226080456e-08      -1.243682192112e-03      -9.719042220575e-08       6.010715122860e-01       6.968872134279e-01      -1.658242917567e-03      -1.457413211599e-07       2.008558892981e-04      -1.243682199993e-03       6.584633967459e-31      -1.659951350225e-03      -1.458916352335e-07       2.010626029033e-04       3.333325967130e-01      -1.137183606392e-07      -2.364945270951e-16 
       7.090334501069e+00       1.551119874997e-05      -1.658256197301e-03      -9.719158861169e-08       3.922499849191e-08       9.806249622978e-08       1.021150046351e-13       1.961249924596e-08      -1.243692147976e-03      -9.719158859746e-08       6.010715120532e-01       6.968872013199e-01      -1.658256190205e-03      -1.457430773583e-07       2.008575017973e-04      -1.243692158630e-03       1.537259449540e-30      -1.659964636504e-03      -1.458933932365e-07       2.010642170563e-04       3.333325967070e-01      -1.537404198418e-07      -4.273597190186e-16 
       7.090363037695e+00       1.551126198289e-05      -1.658269471838e-03      -9.719275501637e-08       3.922547537860e-08       9.806368844649e-08       1.021170786965e-13       1.961273768930e-08      -1.243702103879e-03      -9.719275499844e-08       6.010715118205e-01       6.968871892119e-01      -1.658269462895e-03      -1.457448335709e-07       2.008591143030e-04      -1.243702117306e-03       2.986652559622e-30      -1.659977922836e-03      -1.458951512536e-07       2.010658312157e-04       3.333325967010e-01      -1.937623150416e-07      -6.752655922757e-16 
