# Matter power spectrum P(k) at redshift z=0
# for k=1.025e-05 to 8.04293 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.025001547790e-05       5.023207985795e+01 
       2.310468890011e-05       1.105212728946e+02 
       3.600390947531e-05       1.699853533476e+02 
       4.898224049633e-05       2.291992229578e+02 
       6.207481045617e-05       2.885081141082e+02 
       7.531762500668e-05       3.481828005620e+02 
       8.874788879796e-05       4.084632932659e+02 
       1.024043414654e-04       4.695770619694e+02 
       1.163276120633e-04       5.317486933596e+02 
       1.305605962777e-04       5.952060255210e+02 
       1.451488607592e-04       6.601846699511e+02 
       1.601410788592e-04       7.268604413032e+02 
       1.755895018831e-04       7.956230788656e+02 
       1.915504696170e-04       8.666940765282e+02 
       2.080849632480e-04       9.403743239335e+02 
       2.252592027536e-04       1.016988929150e+03 
       2.431452892225e-04       1.096890267302e+03 
       2.618218901673e-04       1.180460980245e+03 
       2.813749624416e-04       1.268116763681e+03 
       3.018985025529e-04       1.360308808398e+03 
       3.234953076009e-04       1.457525597360e+03 
       3.462777213715e-04       1.560293758551e+03 
       3.703683289081e-04       1.669177528321e+03 
       3.959005489001e-04       1.784776198472e+03 
       4.230190564848e-04       1.907719119810e+03 
       4.518799500321e-04       2.038657428643e+03 
       4.826505554567e-04       2.178252117185e+03 
       5.155087430002e-04       2.327158522936e+03 
       5.506416181885e-04       2.486007330890e+03 
       5.882434464500e-04       2.655384128238e+03 
       6.285126868565e-04       2.835810208418e+03 
       6.716480524307e-04       3.027729166424e+03 
       7.178435889560e-04       3.231504053129e+03 
       7.672828733757e-04       3.447429990085e+03 
       8.201325708311e-04       3.675762258175e+03 
       8.765357391536e-04       3.916753970183e+03 
       9.366054026550e-04       4.170686873052e+03 
       1.000418997422e-03       4.437872032400e+03 
       1.068014284350e-03       4.718597246452e+03 
       1.139387215251e-03       5.013013980426e+03 
       1.214492028991e-03       5.320988419739e+03 
       1.293243585070e-03       5.641974588399e+03 
       1.375521667728e-03       5.974964894371e+03 
       1.461176773566e-03       6.318641996287e+03 
       1.550036771621e-03       6.671598560780e+03 
       1.641913810376e-03       7.032546550028e+03 
       1.736610925723e-03       7.400451818636e+03 
       1.833927943374e-03       7.774469493222e+03 
       1.933666429510e-03       8.153754729037e+03 
       2.035633592258e-03       8.537302888740e+03 
       2.139645154089e-03       8.923951009354e+03 
       2.245527294190e-03       9.312543907870e+03 
       2.353117802744e-03       9.702129208192e+03 
       2.462266603221e-03       1.009202070596e+04 
       2.572835793267e-03       1.048168902132e+04 
       2.684699337856e-03       1.087058755350e+04 
       2.797742526304e-03       1.125808146152e+04 
       2.911861281928e-03       1.164351208447e+04 
       3.026961392040e-03       1.202635200827e+04 
       3.142957707884e-03       1.240625535975e+04 
       3.259773349387e-03       1.278298873677e+04 
       3.377338938029e-03       1.315629214443e+04 
       3.495591872457e-03       1.352583725792e+04 
       3.614475655047e-03       1.389129009692e+04 
       3.733939273075e-03       1.425241204974e+04 
       3.853936635052e-03       1.460908584959e+04 
       3.974426060708e-03       1.496124020390e+04 
       4.095369821845e-03       1.530876116076e+04 
       4.216733730524e-03       1.565148265916e+04 
       4.338486770747e-03       1.598924168910e+04 
       4.460600769688e-03       1.632197412160e+04 
       4.583050104622e-03       1.664967889792e+04 
       4.705811441900e-03       1.697235680389e+04 
       4.828863504566e-03       1.728996923738e+04 
       4.952186865484e-03       1.760241995197e+04 
       5.075763763157e-03       1.790966487204e+04 
       5.199577937666e-03       1.821171880244e+04 
       5.323614484453e-03       1.850863810163e+04 
       5.447859723915e-03       1.880045108498e+04 
       5.572301084988e-03       1.908712959945e+04 
       5.696927001136e-03       1.936865188594e+04 
       5.821726817313e-03       1.964502821752e+04 
       5.946690706662e-03       1.991632176777e+04 
       6.071809595837e-03       2.018260782854e+04 
       6.197075097987e-03       2.044390740023e+04 
       6.322479452535e-03       2.070021501793e+04 
       6.448015471001e-03       2.095154638084e+04 
       6.573676488204e-03       2.119795186149e+04 
       6.699456318254e-03       2.143951204783e+04 
       6.825349214816e-03       2.167629347837e+04 
       6.951349835179e-03       2.190831351351e+04 
       7.077453207743e-03       2.213558252289e+04 
       7.203654702547e-03       2.235815225744e+04 
       7.329950004531e-03       2.257607791963e+04 
       7.456335089243e-03       2.278944569077e+04 
       7.582806200754e-03       2.299830921432e+04 
       7.709359831538e-03       2.320268208307e+04 
       7.835992704145e-03       2.340260248329e+04 
       7.962701754465e-03       2.359811643974e+04 
       8.089484116451e-03       2.378931834882e+04 
       8.216337108139e-03       2.397624768128e+04 
       8.343258218856e-03       2.415895378428e+04 
       8.470245097497e-03       2.433747685392e+04 
       8.597295541772e-03       2.451185432683e+04 
       8.724407488335e-03       2.468213988009e+04 
       8.851579003709e-03       2.484841024493e+04 
       8.978808275944e-03       2.501071536184e+04 
       9.106093606932e-03       2.516908618562e+04 
       9.233433405330e-03       2.532355403770e+04 
       9.360826180034e-03       2.547417541587e+04 
       9.488270534155e-03       2.562101604275e+04 
       9.615765159452e-03       2.576412482223e+04 
       9.743308831195e-03       2.590354149134e+04 
       9.870900403406e-03       2.603930014461e+04 
       9.998538804459e-03       2.617143950036e+04 
       1.012622303300e-02       2.630000954313e+04 
       1.025395215418e-02       2.642508016469e+04 
       1.038172529613e-02       2.654668655729e+04 
       1.050954164675e-02       2.666486415971e+04 
       1.063740045064e-02       2.677963646131e+04 
       1.076530100636e-02       2.689105581081e+04 
       1.089324266379e-02       2.699918459165e+04 
       1.102122482171e-02       2.710405116750e+04 
       1.114924692558e-02       2.720571549625e+04 
       1.127730846543e-02       2.730419012379e+04 
       1.140540897392e-02       2.739950366801e+04 
       1.153354802455e-02       2.749171956665e+04 
       1.166172522995e-02       2.758089098671e+04 
       1.178994024035e-02       2.766703940803e+04 
       1.191819274209e-02       2.775019191026e+04 
       1.204648245630e-02       2.783040232203e+04 
       1.217480913760e-02       2.790769833355e+04 
       1.230317257299e-02       2.798213222691e+04 
       1.243157258071e-02       2.805373035581e+04 
       1.256000900926e-02       2.812254922882e+04 
       1.268848173644e-02       2.818859775748e+04 
       1.281699066851e-02       2.825192056089e+04 
       1.294553573936e-02       2.831255878263e+04 
       1.307411690977e-02       2.837053713687e+04 
       1.320273416673e-02       2.842591099973e+04 
       1.333138752279e-02       2.847868498509e+04 
       1.346007701550e-02       2.852891858169e+04 
       1.358880270683e-02       2.857661205326e+04 
       1.371756468271e-02       2.862182970986e+04 
       1.384636305255e-02       2.866460022145e+04 
       1.397519794885e-02       2.870494859033e+04 
       1.410406952683e-02       2.874290275922e+04 
       1.423297796406e-02       2.877849433685e+04 
       1.436192346018e-02       2.881176699959e+04 
       1.449090623661e-02       2.884273331372e+04 
       1.461992653634e-02       2.887144997614e+04 
       1.474238081126e-02       2.889661839021e+04 
       1.474898462369e-02       2.889792731827e+04 
       1.487808078413e-02       2.892218958587e+04 
       1.500721532412e-02       2.894427266379e+04 
       1.513638857102e-02       2.896420499013e+04 
       1.526560087292e-02       2.898202541112e+04 
       1.539485259862e-02       2.899776609720e+04 
       1.552414413753e-02       2.901143112356e+04 
       1.565347589966e-02       2.902306891147e+04 
       1.578284831559e-02       2.903268254283e+04 
       1.591226183650e-02       2.904032885132e+04 
       1.604171693418e-02       2.904601540470e+04 
       1.617121410107e-02       2.904979009827e+04 
       1.630075385036e-02       2.905165748029e+04 
       1.643033671606e-02       2.905166152587e+04 
       1.655996325307e-02       2.904980230332e+04 
       1.668963403739e-02       2.904613511800e+04 
       1.681934966617e-02       2.904065901817e+04 
       1.694911075792e-02       2.903343849708e+04 
       1.707891795268e-02       2.902444841786e+04 
       1.720877191222e-02       2.901375816261e+04 
       1.733867332022e-02       2.900138249823e+04 
       1.746862288253e-02       2.898729183027e+04 
       1.759862132741e-02       2.897162791903e+04 
       1.772866940576e-02       2.895428950586e+04 
       1.785876789147e-02       2.893536046945e+04 
       1.798891758161e-02       2.891487510008e+04 
       1.811911929685e-02       2.889280817555e+04 
       1.824937388170e-02       2.886922943092e+04 
       1.837968220491e-02       2.884415974539e+04 
       1.851004515982e-02       2.881765337597e+04 
       1.864046366470e-02       2.878961449612e+04 
       1.877093866322e-02       2.876017471192e+04 
       1.890147112477e-02       2.872931694468e+04 
       1.903206204496e-02       2.869706104748e+04 
       1.916271244607e-02       2.866345319605e+04 
       1.929342337744e-02       2.862850836782e+04 
       1.942419591603e-02       2.859223189062e+04 
       1.955503116690e-02       2.855464220613e+04 
       1.968593026370e-02       2.851576769242e+04 
       1.981689436925e-02       2.847566865515e+04 
       1.994792467608e-02       2.843429486259e+04 
       2.007902240698e-02       2.839173366843e+04 
       2.021018881564e-02       2.834798205883e+04 
       2.034142518727e-02       2.830302927080e+04 
       2.047273283919e-02       2.825694454147e+04 
