# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.187449398863e+03       3.123713453057e-02       0.000000000000e+00       2.225006945193e+00       4.455241203207e-08       3.600273401656e-03      -1.140686526032e-05 
    3       1.087230869872e+03       3.892557409362e-02       0.000000000000e+00       2.430342171067e+00       5.637828632218e-08       3.634959613372e-03      -1.188677507966e-05 
    4       1.004069566497e+03       3.314291412711e-02       0.000000000000e+00       2.273100995633e+00       6.610834197975e-08       3.564660784933e-03      -9.692192172273e-06 
    5       9.440073723897e+02       2.202887965159e-02       0.000000000000e+00       1.991581899068e+00       7.463446049250e-08       3.455657818457e-03      -6.142146239270e-06 
    6       9.030313684105e+02       1.263576556528e-02       0.000000000000e+00       1.689863622288e+00       8.217866340929e-08       3.332058461613e-03      -2.323148879842e-06 
    7       8.758766488254e+02       7.479024386126e-03       0.000000000000e+00       1.420818915558e+00       8.886336550970e-08       3.205524369205e-03       9.323014280562e-07 
    8       8.588640225214e+02       5.547569469507e-03       0.000000000000e+00       1.205032231062e+00       9.482581616457e-08       3.080941630561e-03       3.117928435974e-06 
    9       8.487058550679e+02       4.868101220165e-03       0.000000000000e+00       1.047729753144e+00       1.002236114260e-07       2.961010808189e-03       4.062822782962e-06 
   10       8.438465024303e+02       4.205909844578e-03       0.000000000000e+00       9.454061234305e-01       1.051764058954e-07       2.848725201864e-03       3.890604289366e-06 
   11       8.430892591272e+02       3.348648657291e-03       0.000000000000e+00       8.892013685985e-01       1.063339181708e-07       2.740069399144e-03       2.922833966025e-06 
   12       8.447218316472e+02       2.578037798227e-03       0.000000000000e+00       8.683548336932e-01       1.101516886824e-07       2.642401012813e-03       1.607895721861e-06 
   13       8.484750103713e+02       2.125997963090e-03       0.000000000000e+00       8.728355983588e-01       1.136008763896e-07       2.540748405111e-03       3.124642102310e-07 
   14       8.539220594440e+02       1.994229800196e-03       0.000000000000e+00       8.938668840950e-01       1.167197940211e-07       2.449721440527e-03      -6.606390164513e-07 
   15       8.607912372074e+02       2.061803558884e-03       0.000000000000e+00       9.248925381073e-01       1.195434531785e-07       2.365029720540e-03      -1.180560081510e-06 
   16       8.685883959351e+02       2.236279426575e-03       0.000000000000e+00       9.625071791522e-01       1.220986571645e-07       2.281383158407e-03      -1.265923527831e-06 
   17       8.773407891625e+02       2.503547790931e-03       0.000000000000e+00       1.005266976893e+00       1.244107665227e-07       2.202709305034e-03      -1.030777486871e-06 
   18       8.867702421836e+02       2.891385194211e-03       0.000000000000e+00       1.053378958348e+00       1.264539309298e-07       2.127298347761e-03      -6.596477688505e-07 
   19       8.969117303796e+02       3.412525116418e-03       0.000000000000e+00       1.107754808498e+00       1.283904487911e-07       2.057209113745e-03      -2.941624909916e-07 
   20       9.075264617390e+02       4.066777438877e-03       0.000000000000e+00       1.168852186625e+00       1.300874929453e-07       1.991384533108e-03      -7.905494656793e-08 
   21       9.186903362620e+02       4.846110911471e-03       0.000000000000e+00       1.236095552118e+00       1.316288215837e-07       1.929647203893e-03      -5.373048051226e-08 
   22       9.303315430961e+02       5.738035102759e-03       0.000000000000e+00       1.307946917520e+00       1.329908828978e-07       1.869305080873e-03      -1.929312931276e-07 
   23       9.424188108074e+02       6.744704849117e-03       0.000000000000e+00       1.382275786910e+00       1.342410937057e-07       1.811691496455e-03      -4.346468086334e-07 
   24       9.547910861546e+02       7.871142993601e-03       0.000000000000e+00       1.456315314679e+00       1.353333021573e-07       1.757733890653e-03      -6.828021969042e-07 
   25       9.675587785334e+02       9.115852956262e-03       0.000000000000e+00       1.527633999731e+00       1.363202365302e-07       1.707307178620e-03      -8.712144412392e-07 
   26       9.807763693089e+02       1.047656737049e-02       0.000000000000e+00       1.593864381561e+00       1.371814837696e-07       1.658534810354e-03      -9.462911401239e-07 
   27       9.943487553574e+02       1.196412311801e-02       0.000000000000e+00       1.653940465930e+00       1.379432886824e-07       1.611538396176e-03      -9.126271904593e-07 
   28       1.008074274768e+03       1.359352259179e-02       0.000000000000e+00       1.707338212676e+00       1.385709697220e-07       1.566321242266e-03      -8.057821810512e-07 
   29       1.022025607896e+03       1.537441134608e-02       0.000000000000e+00       1.754121281388e+00       1.391355377887e-07       1.523603918082e-03      -6.631311094606e-07 
   30       1.036280775466e+03       1.731497126508e-02       0.000000000000e+00       1.794726501486e+00       1.396569912371e-07       1.483372626634e-03      -5.366378292186e-07 
   31       1.050834854373e+03       1.942317143231e-02       0.000000000000e+00       1.829681232404e+00       1.400581465072e-07       1.444635078396e-03      -4.840734346332e-07 
   32       1.065699541043e+03       2.170548333102e-02       0.000000000000e+00       1.858896143019e+00       1.403827100780e-07       1.407485531876e-03      -5.093407436947e-07 
   33       1.080819722566e+03       2.416762242504e-02       0.000000000000e+00       1.882116065726e+00       1.406583205554e-07       1.371711166474e-03      -5.907903844292e-07 
   34       1.096086212972e+03       2.681495248593e-02       0.000000000000e+00       1.898999234549e+00       1.408497829883e-07       1.336562835716e-03      -6.975080431460e-07 
   35       1.111510325985e+03       2.965289550667e-02       0.000000000000e+00       1.908757787748e+00       1.409882793859e-07       1.302484371258e-03      -8.047588339457e-07 
   36       1.127096972416e+03       3.268660402621e-02       0.000000000000e+00       1.910378743556e+00       1.410805868170e-07       1.270006409887e-03      -8.836926097213e-07 
   37       1.142823146018e+03       3.592108575300e-02       0.000000000000e+00       1.902906676662e+00       1.410888251425e-07       1.239326630793e-03      -9.054422981997e-07 
   38       1.158744504128e+03       3.936211458497e-02       0.000000000000e+00       1.886123426174e+00       1.410506419012e-07       1.210658832739e-03      -8.738864000817e-07 
   39       1.174915765397e+03       4.301558991633e-02       0.000000000000e+00       1.860094553347e+00       1.410010610523e-07       1.183897949073e-03      -8.082352748456e-07 
   40       1.191357148206e+03       4.688727966336e-02       0.000000000000e+00       1.824996037826e+00       1.409272279946e-07       1.158422313399e-03      -7.362711759973e-07 
   41       1.208058696699e+03       5.098257092643e-02       0.000000000000e+00       1.781040455201e+00       1.407833151958e-07       1.133353526280e-03      -6.880120510176e-07 
