# Matter power spectrum P(k) at redshift z=0
# for k=1.01198e-05 to 9.23641 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.011975468079e-05       5.451336277426e+01 
       2.326715855700e-05       1.222901146980e+02 
       3.646120667763e-05       1.891783677849e+02 
       4.973888165243e-05       2.558764002635e+02 
       6.313778917950e-05       3.228157275195e+02 
       7.669650732301e-05       3.903443536968e+02 
       9.045494721183e-05       4.587781731042e+02 
       1.044547301479e-04       5.284227970830e+02 
       1.187395861501e-04       5.995855948212e+02 
       1.333557789933e-04       6.725837261385e+02 
       1.483525628038e-04       7.477504301057e+02 
       1.637826751846e-04       8.254404717152e+02 
       1.797028716077e-04       9.060352581153e+02 
       1.961745053314e-04       9.899477896225e+02 
       2.132641562472e-04       1.077627538425e+03 
       2.310443106797e-04       1.169565268277e+03 
       2.495940920237e-04       1.266297539103e+03 
       2.690000389309e-04       1.368410824626e+03 
       2.893569232064e-04       1.476544564147e+03 
       3.107685932198e-04       1.591392888863e+03 
       3.333488200106e-04       1.713703902236e+03 
       3.572221118731e-04       1.844275681494e+03 
       3.825244486274e-04       1.983947634516e+03 
       4.094038687941e-04       2.133585596157e+03 
       4.380208217040e-04       2.294059779370e+03 
       4.685481731847e-04       2.466213856695e+03 
       5.011707300292e-04       2.650826353579e+03 
       5.360841288428e-04       2.848565840248e+03 
       5.734929250018e-04       3.059946298993e+03 
       6.136077254008e-04       3.285292223048e+03 
       6.566412439401e-04       3.524729702467e+03 
       7.028032304230e-04       3.778219015891e+03 
       7.522943371210e-04       4.045645334026e+03 
       8.052991398900e-04       4.326967812782e+03 
       8.619787067654e-04       4.622403152179e+03 
       9.224632758874e-04       4.932584226385e+03 
       9.868457239808e-04       5.258606337819e+03 
       1.055176532381e-03       5.601873183943e+03 
       1.127460859782e-03       5.963714951483e+03 
       1.203658109225e-03       6.344862171647e+03 
       1.283684067901e-03       6.744987788906e+03 
       1.367415367871e-03       7.162584263605e+03 
       1.454695738056e-03       7.595314636361e+03 
       1.545343350094e-03       8.040807108410e+03 
       1.639158525580e-03       8.497309237110e+03 
       1.735931155277e-03       8.963936322974e+03 
       1.835447341739e-03       9.440255888331e+03 
       1.937494966937e-03       9.925548709104e+03 
