# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.024236457196e+03       3.128705642538e-02       1.796215963847e-06       2.571334838700e+00       4.763813171776e-08       3.072654967977e-03      -1.223453012775e-05 
    3       9.666627366536e+02       4.025959570104e-02       3.593130294461e-06       2.913264073146e+00       5.939623681901e-08       3.079445809031e-03      -1.313293863011e-05 
    4       9.131273816393e+02       3.488493713199e-02       5.990088292822e-06       2.734505232999e+00       6.904595138583e-08       3.006949381469e-03      -1.111495033620e-05 
    5       8.733547486718e+02       2.329748937525e-02       8.987982218069e-06       2.333748886110e+00       7.739696117144e-08       2.906545034551e-03      -7.572799703418e-06 
    6       8.459741271490e+02       1.303293580331e-02       1.258789487799e-05       1.881289510612e+00       8.465156362017e-08       2.795412426511e-03      -3.682689608553e-06 
    7       8.281637997375e+02       7.043545602533e-03       1.679107942389e-05       1.476758161993e+00       9.104115417958e-08       2.683198184429e-03      -3.599839105638e-07 
    8       8.179077211166e+02       4.548585602185e-03       2.159893650782e-05       1.164408478107e+00       9.677451157867e-08       2.576142086683e-03       1.845896157705e-06 
    9       8.130321661051e+02       3.658307872324e-03       2.701298948339e-05       9.548422970498e-01       1.019630077965e-07       2.476364449604e-03       2.767886317715e-06 
   10       8.120407036817e+02       3.124984191028e-03       3.303485837894e-05       8.386242891406e-01       1.066398605949e-07       2.383120126544e-03       2.568777570427e-06 
   11       8.142016617707e+02       2.633156157800e-03       3.966623339402e-05       7.958354110468e-01       1.076572945595e-07       2.306578109817e-03       1.644256503549e-06 
   12       8.189081480737e+02       2.300494055710e-03       4.690884866597e-05       8.037637832988e-01       1.112015386700e-07       2.216638433917e-03       4.245679991720e-07 
   13       8.251146640366e+02       2.209838978260e-03       5.476445702345e-05       8.426016259581e-01       1.143772922043e-07       2.138643935355e-03      -6.632351529096e-07 
   14       8.331006831283e+02       2.300275313579e-03       6.323480638917e-05       8.974152187329e-01       1.172279890651e-07       2.063126233426e-03      -1.361964544021e-06 
   15       8.422158630813e+02       2.482291631831e-03       7.232161841727e-05       9.580011809165e-01       1.197861041025e-07       1.987155936255e-03      -1.585061452004e-06 
   16       8.522490838369e+02       2.737182069019e-03       8.202656985502e-05       1.019058846177e+00       1.220822409648e-07       1.917857956199e-03      -1.391592985523e-06 
   17       8.631890741424e+02       3.107602451873e-03       9.235127700689e-05       1.079705160445e+00       1.241419895679e-07       1.854690087354e-03      -9.512708681286e-07 
