# Matter power spectrum P(k) at redshift z=0
# for k=1.02989e-05 to 8.2919 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029887249158e-05       4.831828119072e+01 
       2.297337480591e-05       1.052262214002e+02 
       3.569107752033e-05       1.613354808021e+02 
       4.848510829802e-05       2.171644885768e+02 
       6.138912582135e-05       2.730186652132e+02 
       7.443761040902e-05       3.291330805215e+02 
       8.766616364764e-05       3.857126869696e+02 
       1.011118209059e-04       4.429489119538e+02 
       1.148133806295e-04       5.010282650257e+02 
       1.288117543472e-04       5.601376239070e+02 
       1.431503413297e-04       6.204679759110e+02 
       1.578754318006e-04       6.821616273497e+02 
       1.730366424610e-04       7.455263157438e+02 
       1.886873877943e-04       8.107359834987e+02 
       2.048853900875e-04       8.780245297035e+02 
       2.216932302330e-04       9.476424635149e+02 
       2.391789400233e-04       1.019859220745e+03 
       2.574166346351e-04       1.094965527238e+03 
       2.764871811084e-04       1.173275772385e+03 
       2.964788945729e-04       1.255130377324e+03 
       3.174882484570e-04       1.340898080730e+03 
       3.396205775790e-04       1.430978051145e+03 
       3.629907435344e-04       1.525801685272e+03 
       3.877237198982e-04       1.625833905135e+03 
       4.139550403764e-04       1.731573711984e+03 
       4.418310364638e-04       1.843553685655e+03 
       4.715087732766e-04       1.962338071894e+03 
       5.031555748219e-04       2.088519008380e+03 
       5.369480160397e-04       2.222710461540e+03 
       5.730702529627e-04       2.365539375345e+03 
       6.117115701723e-04       2.517633667038e+03 
       6.530630531526e-04       2.679606836895e+03 
       6.973133485421e-04       2.852039164461e+03 
       7.446435613336e-04       3.035455940776e+03 
       7.952214527763e-04       3.230303583107e+03 
       8.491952353798e-04       3.436925026282e+03 
       9.066873910372e-04       3.655536264629e+03 
       9.677890354466e-04       3.886206291214e+03 
       1.032555385054e-03       4.128842590939e+03 
       1.101002827982e-03       4.383184228167e+03 
       1.173107952816e-03       4.648803698446e+03 
       1.248808668687e-03       4.925117722091e+03 
       1.328007299043e-03       5.211397912141e+03 
       1.410575302569e-03       5.506787778031e+03 
       1.496359114150e-03       5.810402618318e+03 
       1.585186532316e-03       6.121275033359e+03 
       1.676873106810e-03       6.438413670688e+03 
       1.771228078630e-03       6.760828972380e+03 
       1.868059561882e-03       7.087554795163e+03 
       1.967178799401e-03       7.417665441596e+03 
       2.068403448118e-03       7.750288080497e+03 
       2.171559942832e-03       8.084611476578e+03 
       2.276485045625e-03       8.419890027661e+03 
       2.383026716761e-03       8.755444977754e+03 
       2.491044448840e-03       9.090666578906e+03 
       2.600409197033e-03       9.425005204672e+03 
       2.711003021116e-03       9.757974599802e+03 
       2.822718534726e-03       1.008914317465e+04 
       2.935458237063e-03       1.041813271037e+04 
       3.049133784040e-03       1.074460966139e+04 
       3.163665240381e-03       1.106828477265e+04 
       3.278980341692e-03       1.138890631452e+04 
       3.395013785775e-03       1.170625614746e+04 
       3.511706565126e-03       1.202014524265e+04 
       3.629005347186e-03       1.233041438186e+04 
       3.746861905099e-03       1.263692507498e+04 
       3.865232599123e-03       1.293956396514e+04 
       3.984077907112e-03       1.323823125591e+04 
       4.103362001432e-03       1.353284764352e+04 
       4.223052369057e-03       1.382334717819e+04 
       4.343119471342e-03       1.410967533926e+04 
       4.463536439883e-03       1.439179137427e+04 
       4.584278805001e-03       1.466966115856e+04 
       4.705324253529e-03       1.494326251111e+04 
       4.826652412830e-03       1.521258056179e+04 
       4.948244658228e-03       1.547760240977e+04 
       5.070083941267e-03       1.573832539492e+04 
       5.192154636504e-03       1.599475068119e+04 
       5.314442404742e-03       1.624688315125e+04 
       5.436934070856e-03       1.649473314835e+04 
       5.559617514578e-03       1.673831214523e+04 
       5.682481572746e-03       1.697764002708e+04 
       5.805515951766e-03       1.721273154647e+04 
       5.928711149100e-03       1.744360913631e+04 
       6.052058382800e-03       1.767030110056e+04 
       6.175549528174e-03       1.789282886017e+04 
       6.299177060802e-03       1.811121926239e+04 
       6.422934005212e-03       1.832550398502e+04 
       6.546813888582e-03       1.853570945426e+04 
       6.670810698946e-03       1.874187526172e+04 
       6.794918847406e-03       1.894402339623e+04 
       6.919133133927e-03       1.914219516191e+04 
       7.043448716349e-03       1.933642406890e+04 
       7.167861082270e-03       1.952674461793e+04 
       7.292366023506e-03       1.971318314270e+04 
       7.416959612869e-03       1.989579140431e+04 
       7.541638183027e-03       2.007460263609e+04 
       7.666398307236e-03       2.024965416628e+04 
       7.791236781762e-03       2.042097433575e+04 
       7.916150609827e-03       2.058861155522e+04 
       8.041136986927e-03       2.075260117615e+04 
       8.166193287399e-03       2.091297953324e+04 
       8.291317052110e-03       2.106978358069e+04 
       8.416505977172e-03       2.122307010446e+04 
       8.541757903578e-03       2.137285451900e+04 
       8.667070807681e-03       2.151918517804e+04 
       8.792442792440e-03       2.166210190248e+04 
       8.917872079361e-03       2.180163954671e+04 
       9.043357001071e-03       2.193783996491e+04 
       9.168895994478e-03       2.207073645327e+04 
       9.294487594446e-03       2.220036960862e+04 
       9.420130427972e-03       2.232677125594e+04 
       9.545823208789e-03       2.244998439319e+04 
       9.671564732383e-03       2.257004044444e+04 
       9.797353871381e-03       2.268698347052e+04 
       9.923189571279e-03       2.280085753263e+04 
       1.004907084648e-02       2.291166235889e+04 
       1.017499677664e-02       2.301948777865e+04 
       1.030096650323e-02       2.312432155232e+04 
       1.042697922641e-02       2.322622724645e+04 
       1.055303420209e-02       2.332521160827e+04 
       1.067913073918e-02       2.342134090549e+04 
       1.080526819708e-02       2.351463306093e+04 
       1.093144598333e-02       2.360514807102e+04 
       1.105766355139e-02       2.369284634555e+04 
       1.118392039865e-02       2.377787663013e+04 
       1.131021606448e-02       2.386017936864e+04 
       1.143655012852e-02       2.393981150085e+04 
       1.156292220900e-02       2.401679968356e+04 
       1.168933196123e-02       2.409121350363e+04 
       1.181577907619e-02       2.416306727883e+04 
       1.194226327918e-02       2.423234620545e+04 
       1.206878432863e-02       2.429913986376e+04 
       1.219534201490e-02       2.436344480628e+04 
       1.232193615929e-02       2.442532083206e+04 
       1.244856661299e-02       2.448481650896e+04 
       1.257523325621e-02       2.454187781823e+04 
       1.270193599728e-02       2.459664327544e+04 
       1.282867477192e-02       2.464902567609e+04 
       1.295544954248e-02       2.469916202154e+04 
