# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01948e-05 to 7.94874 h/Mpc,
# number of wavenumbers equal to 609
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2              8:-T_tot_no_scf/k2   
       1.019475915369e-05       2.034793174180e+07       2.034797364553e+07       2.711634939202e+07       2.711603545667e+07       2.034326057429e+07       5.953210717601e+06       2.034970904513e+07 
       2.294706942182e-05       2.034781477275e+07       2.034785362487e+07       2.705818368397e+07       2.705659577325e+07       2.034297817586e+07       5.953171563028e+06       2.034957531693e+07 
       3.574294152590e-05       2.034759714957e+07       2.034763041962e+07       2.695509660695e+07       2.695125535795e+07       2.034246646541e+07       5.953099142211e+06       2.034932796194e+07 
       4.861611693410e-05       2.034728257443e+07       2.034730791201e+07       2.680666483923e+07       2.679958842710e+07       2.034172682237e+07       5.952994510641e+06       2.034897058760e+07 
       6.160088079311e-05       2.034686849555e+07       2.034688309491e+07       2.661219958575e+07       2.660090175204e+07       2.034075238788e+07       5.952856840982e+06       2.034850036513e+07 
       7.473236158589e-05       2.034635086402e+07       2.034635246434e+07       2.637076069935e+07       2.635424881066e+07       2.033953439020e+07       5.952684895924e+06       2.034791306421e+07 
       8.804684014440e-05       2.034572499091e+07       2.034571073573e+07       2.608116156159e+07       2.605843574387e+07       2.033806076835e+07       5.952477173654e+06       2.034720354998e+07 
       1.015820720536e-04       2.034498480456e+07       2.034495186500e+07       2.574197991154e+07       2.571203297112e+07       2.033631706836e+07       5.952231778306e+06       2.034636534016e+07 
       1.153776275143e-04       2.034412303033e+07       2.034406837197e+07       2.535157083958e+07       2.531338898391e+07       2.033428561263e+07       5.951946431171e+06       2.034539064318e+07 
       1.294752527649e-04       2.034313098220e+07       2.034305141753e+07       2.490808507722e+07       2.486065103461e+07       2.033194538002e+07       5.951618425112e+06       2.034427020212e+07 
       1.439192571723e-04       2.034199844268e+07       2.034189073834e+07       2.440949795165e+07       2.435179416218e+07       2.032927171136e+07       5.951244594132e+06       2.034299319043e+07 
       1.587569300560e-04       2.034071352492e+07       2.034057388176e+07       2.385364292494e+07       2.378466096849e+07       2.032623525415e+07       5.950821244585e+06       2.034154697647e+07 
       1.740389911552e-04       2.033926235338e+07       2.033908693421e+07       2.323826935060e+07       2.315701801578e+07       2.032280235966e+07       5.950344117521e+06       2.033991699439e+07 
       1.898200783352e-04       2.033762886972e+07       2.033741355409e+07       2.256111027139e+07       2.246663059201e+07       2.031893371036e+07       5.949808298819e+06       2.033808643652e+07 
       2.061592755517e-04       2.033579460046e+07       2.033553478681e+07       2.181998068285e+07       2.171136401799e+07       2.031458366571e+07       5.949208160762e+06       2.033603605306e+07 
       2.231206831557e-04       2.033373824552e+07       2.033342886981e+07       2.101290165761e+07       2.088931738748e+07       2.030969949888e+07       5.948537261634e+06       2.033374380823e+07 
       2.407740311616e-04       2.033143532677e+07       2.033107080948e+07       2.013827426830e+07       1.999899768421e+07       2.030422033482e+07       5.947788252164e+06       2.033118455997e+07 
       2.591953339356e-04       2.032885762091e+07       2.032843231894e+07       1.919508679548e+07       1.903954326387e+07       2.029807630217e+07       5.946952750152e+06       2.032832963053e+07 
       2.784675816432e-04       2.032597295559e+07       2.032548033758e+07       1.818318956512e+07       1.801100520400e+07       2.029118617862e+07       5.946021238395e+06       2.032514645676e+07 
       2.986814594364e-04       2.032274432675e+07       2.032217744179e+07       1.710363465757e+07       1.691469597045e+07       2.028345676824e+07       5.944982895488e+06       2.032159801147e+07 
       3.199360794204e-04       2.031912957938e+07       2.031848069225e+07       1.595907765631e+07       1.575360926550e+07       2.027478055482e+07       5.943825491491e+06       2.031764244613e+07 
       3.423397025561e-04       2.031508055059e+07       2.031434120064e+07       1.475426210750e+07       1.453291170029e+07       2.026503393267e+07       5.942535193997e+06       2.031323242816e+07 
       3.660104174668e-04       2.031054237586e+07       2.030970349320e+07       1.349655613672e+07       1.326049393573e+07       2.025407504117e+07       5.941096407518e+06       2.030831459319e+07 
       3.910767303736e-04       2.030545277509e+07       2.030450467101e+07       1.219653294830e+07       1.194755244472e+07       2.024174126581e+07       5.939491600684e+06       2.030282895607e+07 
       4.176780050256e-04       2.029974151163e+07       2.029867347084e+07       1.086851652434e+07       1.060914592295e+07       2.022784644660e+07       5.937701167231e+06       2.029670843967e+07 
       4.459646738949e-04       2.029332948908e+07       2.029213021342e+07       9.531042275645e+06       9.264631946564e+06       2.021217892049e+07       5.935703234433e+06       2.028987822638e+07 
       4.760981230951e-04       2.028612836350e+07       2.028478563907e+07       8.207057031694e+06       7.937844234085e+06       2.019449841082e+07       5.933473521060e+06       2.028225528148e+07 
       5.082501355073e-04       2.027804011171e+07       2.027654121655e+07       6.923706476521e+06       6.656814736982e+06       2.017453447872e+07       5.930985223432e+06       2.027374797581e+07 
       5.426017628227e-04       2.026895720063e+07       2.026728854215e+07       5.711444140330e+06       5.452804409287e+06       2.015198431012e+07       5.928208949487e+06       2.026425587510e+07 
       5.793414925758e-04       2.025876253188e+07       2.025691030459e+07       4.602265904399e+06       4.358391096443e+06       2.012651265772e+07       5.925112606455e+06       2.025366937190e+07 
       6.186625871674e-04       2.024733071336e+07       2.024528073827e+07       3.626816005618e+06       3.404431464091e+06       2.009775191932e+07       5.921661500429e+06       2.024187003859e+07 
       6.607595055931e-04       2.023452950685e+07       2.023226736180e+07       2.810426322243e+06       2.615898829816e+06       2.006530490143e+07       5.917818462573e+06       2.022873106261e+07 
       7.058233815878e-04       2.022022171222e+07       2.021773313428e+07       2.168350883637e+06       2.006962184725e+06       2.002874936483e+07       5.913544048021e+06       2.021411791225e+07 
       7.540366273582e-04       2.020426836644e+07       2.020153924214e+07       1.701080397174e+06       1.576200940156e+06       1.998764540669e+07       5.908797104001e+06       2.019789023769e+07 
       8.055668565479e-04       2.018653191246e+07       2.018354864437e+07       1.391117849646e+06       1.303441445967e+06       1.994154574738e+07       5.903535497586e+06       2.017990428546e+07 
       8.605604604047e-04       2.016688032471e+07       2.016362990586e+07       1.203038755693e+06       1.150086229197e+06       1.989000888572e+07       5.897717360905e+06       2.016001705610e+07 
       9.191363032436e-04       2.014519129280e+07       2.014166134561e+07       1.088416890955e+06       1.064553627174e+06       1.983261516349e+07       5.891302752624e+06       2.013809188446e+07 
       9.813800949620e-04       2.012135642594e+07       2.011753539839e+07       9.959998635510e+05       9.931382774790e+05       1.976898468732e+07       5.884255734260e+06       2.011400548580e+07 
       1.047340016709e-03       2.009528578198e+07       2.009116264637e+07       8.852239778837e+05       8.941921486778e+05       1.969879643798e+07       5.876546738449e+06       2.008765610581e+07 
       1.117024098737e-03       2.006691131912e+07       2.006247543333e+07       7.384786170000e+05       7.507626575281e+05       1.962180685346e+07       5.868154508728e+06       2.005897034866e+07 
       1.190399676646e-03       2.003619051735e+07       2.003143120937e+07       5.660790509632e+05       5.753901537072e+05       1.953786653839e+07       5.859067454117e+06       2.002790811605e+07 
       1.267395010194e-03       2.000310861050e+07       1.999801450189e+07       3.995425564226e+05       4.026438095312e+05       1.944693314850e+07       5.849283679313e+06       1.999446300312e+07 
       1.347902886081e-03       1.996765572139e+07       1.996221244381e+07       2.741148100614e+05       2.706027977085e+05       1.934905649740e+07       5.838802827978e+06       1.995863449866e+07 
       1.431785798435e-03       1.992985774524e+07       1.992404708915e+07       2.084739230698e+05       1.997359301671e+05       1.924440907972e+07       5.827633670438e+06       1.992045364908e+07 
       1.518882153478e-03       1.988983080285e+07       1.988363314474e+07       1.933880742049e+05       1.814041102967e+05       1.913333363570e+07       5.815809463124e+06       1.988003498508e+07 
       1.609012899061e-03       1.984766827202e+07       1.984105996825e+07       1.974663959273e+05       1.841071439242e+05       1.901622968954e+07       5.803355289458e+06       1.983746432066e+07 
       1.701988028950e-03       1.980348268099e+07       1.979643625817e+07       1.874337787357e+05       1.744268695656e+05       1.889358033651e+07       5.790302049205e+06       1.979284644795e+07 
       1.797612528360e-03       1.975740128056e+07       1.974988622216e+07       1.493783654825e+05       1.384856136568e+05       1.876593287752e+07       5.776686671428e+06       1.974630638252e+07 
       1.895691475297e-03       1.970956111526e+07       1.970154505908e+07       9.547228124724e+04       8.825251134119e+04       1.863387705842e+07       5.762550922489e+06       1.969798616892e+07 
       1.996034158711e-03       1.966010583092e+07       1.965155579538e+07       5.115391546984e+04       4.820598627501e+04       1.849802406534e+07       5.747939273874e+06       1.964803817173e+07 
       2.098457196709e-03       1.960918226248e+07       1.960006566150e+07       3.336949849428e+04       3.369129027988e+04       1.835898615875e+07       5.732896263413e+06       1.959661579732e+07 
       2.202786725537e-03       1.955693718800e+07       1.954722304211e+07       3.789805650166e+04       3.916109015156e+04       1.821735841711e+07       5.717464859036e+06       1.954386693039e+07 
       2.308859782262e-03       1.950351484990e+07       1.949317456523e+07       4.568084786994e+04       4.548994870997e+04       1.807370353930e+07       5.701686467303e+06       1.948993308411e+07 
       2.416525026550e-03       1.944905364910e+07       1.943806210158e+07       4.105782925896e+04       3.828749568040e+04       1.792853924903e+07       5.685601374302e+06       1.943495093738e+07 
       2.525642947905e-03       1.939368520803e+07       1.938202149338e+07       2.456570577085e+04       1.967802783862e+04       1.778233066866e+07       5.669249130046e+06       1.937905461549e+07 
       2.636085692196e-03       1.933753294199e+07       1.932518079964e+07       9.220892694034e+03       3.384700791196e+03       1.763548520460e+07       5.652667495056e+06       1.932237310606e+07 
       2.747736621910e-03       1.928071097820e+07       1.926765842106e+07       5.659141949828e+03      -3.764932676977e+02       1.748835038464e+07       5.635890907289e+06       1.926502508700e+07 
       2.860489703016e-03       1.922332423833e+07       1.920956302199e+07       1.172472549446e+04       5.551924576394e+03       1.734121547544e+07       5.618950000742e+06       1.920711630511e+07 
       2.974248790649e-03       1.916546965834e+07       1.915099449604e+07       1.622049366294e+04       9.966544843807e+03       1.719431618515e+07       5.601872575361e+06       1.914874184308e+07 
       3.088926867538e-03       1.910723187823e+07       1.909203978407e+07       1.138472051838e+04       5.824183690435e+03       1.704783615647e+07       5.584683329509e+06       1.908998516664e+07 
       3.204445273894e-03       1.904868864694e+07       1.903277863307e+07       3.439628173827e+02       2.357016724186e+03       1.690201899703e+07       5.567405996923e+06       1.903092645371e+07 
       3.320732955321e-03       1.898990580229e+07       1.897327843360e+07      -7.589272014649e+03       1.236139327226e+04       1.675701217949e+07       5.550060807626e+06       1.897163492250e+07 
       3.437725746040e-03       1.893094343706e+07       1.891360026387e+07      -7.426879135432e+03       2.958449687618e+04       1.661281609086e+07       5.532665121028e+06       1.891217090669e+07 
       3.555365697705e-03       1.887185146904e+07       1.885379479353e+07      -3.042850572931e+03       4.098905211338e+04       1.646959892967e+07       5.515232967056e+06       1.885258319535e+07 
       3.673600459124e-03       1.881267495158e+07       1.879390767455e+07      -1.663426998428e+03       4.092290420849e+04       1.632750245039e+07       5.497777231951e+06       1.879291560200e+07 
       3.792382708662e-03       1.875344899979e+07       1.873397506683e+07      -5.552650162641e+03       3.431029540618e+04       1.618663903047e+07       5.480308643352e+06       1.873320377189e+07 
       3.911669638723e-03       1.869420620483e+07       1.867403083413e+07      -1.035055732128e+04       2.975648488742e+04       1.604710032138e+07       5.462837513549e+06       1.867348228555e+07 
       4.031422490187e-03       1.863497054186e+07       1.861410054450e+07      -1.104367391222e+04       3.104961311356e+04       1.590895441024e+07       5.445371227059e+06       1.861377680534e+07 
       4.151606133778e-03       1.857576323062e+07       1.855420708360e+07      -7.876702865475e+03       3.490901515829e+04       1.577225317571e+07       5.427915720016e+06       1.855410864286e+07 
       4.272188694815e-03       1.851659975722e+07       1.849436784832e+07      -5.444282221492e+03       3.585398861016e+04       1.563703172897e+07       5.410475125255e+06       1.849449239440e+07 
       4.393141217651e-03       1.845749295189e+07       1.843459735016e+07      -6.760575160833e+03       3.230120292732e+04       1.550331274288e+07       5.393053264531e+06       1.843494053062e+07 
       4.514437366083e-03       1.839845135147e+07       1.837490585246e+07      -9.764435216891e+03       2.761512638263e+04       1.537110639945e+07       5.375653192942e+06       1.837546253207e+07 
       4.636053156183e-03       1.833948153807e+07       1.831530164667e+07      -2.497685080704e+04      -2.535927011327e+04       1.524041320435e+07       5.358275264066e+06       1.831605936648e+07 
       4.757966718169e-03       1.828058874897e+07       1.825579112972e+07      -2.363724272818e+04      -2.399914139687e+04       1.511122487163e+07       5.340924876949e+06       1.825675021829e+07 
