# Matter power spectrum P(k) at redshift z=0
# for k=9.9905e-06 to 9.23934 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.990501553337e-06       5.361708684556e+01 
       2.288957495652e-05       1.198344141826e+02 
       3.583286827560e-05       1.850944425754e+02 
       4.885530115202e-05       2.500232673638e+02 
       6.199236119110e-05       3.149859566969e+02 
       7.528042128124e-05       3.802629853433e+02 
       8.875706693704e-05       4.460989825062e+02 
       1.024614380371e-04       5.127226747908e+02 
       1.164345893603e-04       5.803572041177e+02 
       1.307198743582e-04       6.492264562148e+02 
       1.453633566085e-04       7.195595506074e+02 
       1.604142533369e-04       7.915944091031e+02 
       1.759254152161e-04       8.655808467009e+02 
       1.919538462831e-04       9.417834481280e+02 
       2.085612671551e-04       1.020484371137e+03 
       2.258147236448e-04       1.101986056290e+03 
       2.437872412006e-04       1.186614056598e+03 
       2.625585231091e-04       1.274719809207e+03 
       2.822156868216e-04       1.366683406296e+03 
       3.028540277603e-04       1.462916344225e+03 
       3.245777931570e-04       1.563863992647e+03 
       3.475009394436e-04       1.670007876970e+03 
       3.717478350936e-04       1.781867345498e+03 
       3.974538563213e-04       1.900000467841e+03 
       4.247658057200e-04       2.025003808190e+03 
       4.538420642882e-04       2.157510641404e+03 
       4.848523667288e-04       2.298187111320e+03 
       5.179770709978e-04       2.447725667363e+03 
       5.534057799920e-04       2.606835621210e+03 
       5.913351719588e-04       2.776229424538e+03 
       6.319659141816e-04       2.956605683801e+03 
       6.754985797964e-04       3.148626960053e+03 
       7.221285667468e-04       3.352894670479e+03 
       7.720401326263e-04       3.569920674488e+03 
       8.253998026265e-04       3.800097258731e+03 
       8.823495614449e-04       4.043668561481e+03 
       9.430003734024e-04       4.300705164122e+03 
       1.007426650795e-03       4.571085769448e+03 
       1.075662274708e-03       4.854488206582e+03 
       1.147698648085e-03       5.150391549025e+03 
       1.223485038407e-03       5.458090423219e+03 
       1.302931187097e-03       5.776720159223e+03 
       1.385911884301e-03       6.105269188194e+03 
       1.472272990825e-03       6.442668852360e+03 
       1.561838274329e-03       6.787807870537e+03 
       1.654416424559e-03       7.139550866325e+03 
       1.749807703588e-03       7.496784664502e+03 
       1.847809835017e-03       7.858445180750e+03 
       1.948222900874e-03       8.223537592277e+03 
       2.050853164449e-03       8.591151635529e+03 
       2.155515852884e-03       8.960468720242e+03 
       2.262037009126e-03       9.330763641101e+03 
       2.370254562191e-03       9.701403175444e+03 
       2.480018775811e-03       1.007183931797e+04 
       2.591192227639e-03       1.044160368371e+04 
       2.703649452650e-03       1.081029991939e+04 
       2.817276361356e-03       1.117759602705e+04 
       2.931969520141e-03       1.154321325971e+04 
       3.047635359808e-03       1.190692115763e+04 
       3.164189360391e-03       1.226852529074e+04 
       3.281555245715e-03       1.262786324076e+04 
       3.399664209837e-03       1.298479738130e+04 
       3.518454189041e-03       1.333921357321e+04 
       3.637869186800e-03       1.369101038354e+04 
       3.757858654801e-03       1.404010051230e+04 
       3.878376930118e-03       1.438639826925e+04 
       3.999382726683e-03       1.472983406934e+04 
       4.120838678014e-03       1.507033566311e+04 
       4.242710927506e-03       1.540782775223e+04 
       4.364968762299e-03       1.574224634689e+04 
       4.487584286699e-03       1.607351816772e+04 
       4.610532131228e-03       1.640157308732e+04 
       4.733789193640e-03       1.672634045960e+04 
       4.857334408435e-03       1.704774128853e+04 
       4.981148541781e-03       1.736570469881e+04 
       5.105214008965e-03       1.768015815836e+04 
       5.229514711843e-03       1.799100999582e+04 
       5.354035894012e-03       1.829819520234e+04 
       5.478764011648e-03       1.860163213420e+04 
       5.603686618242e-03       1.890124895696e+04 
       5.728792261619e-03       1.919697092350e+04 
       5.854070391838e-03       1.948872372797e+04 
       5.979511278739e-03       1.977643700523e+04 
       6.105105938032e-03       2.006005592751e+04 
       6.230846064970e-03       2.033951415670e+04 
       6.356723974755e-03       2.061474964654e+04 
       6.482732548923e-03       2.088571745625e+04 
       6.608865187063e-03       2.115236412507e+04 
       6.735115763259e-03       2.141465401510e+04 
       6.861478586778e-03       2.167255938362e+04 
       6.987948366515e-03       2.192603089712e+04 
       7.114520178822e-03       2.217506190172e+04 
       7.241189438339e-03       2.241962920206e+04 
       7.367951871545e-03       2.265971254246e+04 
       7.494803492715e-03       2.289531273118e+04 
       7.621740582062e-03       2.312643821015e+04 
       7.748759665837e-03       2.335309513313e+04 
       7.875857498181e-03       2.357527946454e+04 
       8.003031044574e-03       2.379302294585e+04 
       8.130277466706e-03       2.400635223413e+04 
       8.257594108650e-03       2.421527246006e+04 
       8.384978484199e-03       2.441982667895e+04 
       8.512428265259e-03       2.462008147766e+04 
       8.639941271216e-03       2.481604259582e+04 
       8.767515459155e-03       2.500773864208e+04 
       8.895148914886e-03       2.519524788093e+04 
       9.022839844682e-03       2.537859943274e+04 
       9.150586567676e-03       2.555784107484e+04 
       9.278387508853e-03       2.573303692798e+04 
       9.406241192590e-03       2.590422825039e+04 
       9.534146236693e-03       2.607149131658e+04 
       9.662101346886e-03       2.623484623610e+04 
       9.790105311728e-03       2.639438116514e+04 
       9.918156997897e-03       2.655014273886e+04 
       1.004625534584e-02       2.670216936334e+04 
       1.017439936573e-02       2.685054955786e+04 
       1.030258813372e-02       2.699531035318e+04 
       1.043082078852e-02       2.713652084208e+04 
       1.055909652810e-02       2.727424619119e+04 
       1.068741460678e-02       2.740851059306e+04 
       1.081577433243e-02       2.753939286547e+04 
       1.094417506388e-02       2.766694064939e+04 
       1.107261620854e-02       2.779117570267e+04 
       1.120109722020e-02       2.791218822169e+04 
       1.132961759691e-02       2.802996062633e+04 
       1.145817687911e-02       2.814465796179e+04 
       1.158677464780e-02       2.825617250986e+04 
       1.171541052291e-02       2.836465682236e+04 
       1.184408416172e-02       2.847008979180e+04 
       1.197279525746e-02       2.857258108429e+04 
       1.210154353793e-02       2.867214266747e+04 
       1.223032876428e-02       2.876869791130e+04 
       1.235915072985e-02       2.886242841176e+04 
       1.248800925908e-02       2.895329125980e+04 
       1.261690420654e-02       2.904134405164e+04 
       1.274583545599e-02       2.912657746731e+04 
       1.287480291950e-02       2.920910009872e+04 
       1.300380653669e-02       2.928885551940e+04 
       1.313284627396e-02       2.936594623497e+04 
       1.326192212385e-02       2.944032255234e+04 
       1.339103410436e-02       2.951199681395e+04 
       1.352018225841e-02       2.958103592818e+04 
       1.364936665330e-02       2.964754092324e+04 
       1.377858738022e-02       2.971141885111e+04 
       1.390784455379e-02       2.977266741957e+04 
       1.403713831169e-02       2.983142705404e+04 
       1.416646881424e-02       2.988763001569e+04 
       1.429583624411e-02       2.994132064110e+04 
       1.442524080600e-02       2.999256012792e+04 
       1.455468272640e-02       3.004119592466e+04 
       1.468416225331e-02       3.008761054182e+04 
       1.479392957947e-02       3.012490350298e+04 
       1.481367965606e-02       3.013145897191e+04 
       1.494323522514e-02       3.017297648462e+04 
       1.507282927202e-02       3.021200093663e+04 
       1.520246212907e-02       3.024870258094e+04 
       1.533213414939e-02       3.028306828113e+04 
       1.546184570683e-02       3.031515979427e+04 
       1.559159719583e-02       3.034494130729e+04 
       1.572138903148e-02       3.037241579273e+04 
       1.585122164946e-02       3.039764726088e+04 
       1.598109550605e-02       3.042058971300e+04 
       1.611101107820e-02       3.044140631891e+04 
       1.624096886355e-02       3.046001554016e+04 
       1.637096938052e-02       3.047651103424e+04 
       1.650101316838e-02       3.049075285240e+04 
       1.663110078738e-02       3.050303792467e+04 
       1.676123281886e-02       3.051310151779e+04 
       1.689140986542e-02       3.052118017131e+04 
       1.702163255107e-02       3.052722152761e+04 
       1.715190152138e-02       3.053125509437e+04 
       1.728221744373e-02       3.053332536062e+04 
       1.741258100750e-02       3.053346545338e+04 
       1.754299292430e-02       3.053153371584e+04 
       1.767345392822e-02       3.052776919486e+04 
       1.780396477610e-02       3.052218062794e+04 
       1.793452624778e-02       3.051472045616e+04 
       1.806513914648e-02       3.050539445615e+04 
       1.819580429900e-02       3.049437827964e+04 
       1.832652255616e-02       3.048150233562e+04 
       1.845729479307e-02       3.046693153360e+04 
       1.858812190954e-02       3.045063987599e+04 
       1.871900483044e-02       3.043259156604e+04 
       1.884994450611e-02       3.041295159190e+04 
       1.898094191278e-02       3.039171005656e+04 
       1.911199805298e-02       3.036883380053e+04 
       1.924311395601e-02       3.034428626715e+04 
       1.937429067841e-02       3.031826004074e+04 
       1.950552930445e-02       3.029065725979e+04 
       1.963683094662e-02       3.026155548186e+04 
       1.976819674615e-02       3.023109099782e+04 
       1.989962787358e-02       3.019892138044e+04 
       2.003112552931e-02       3.016556678953e+04 
       2.016269094417e-02       3.013072883671e+04 
       2.029432538003e-02       3.009446232170e+04 
       2.042603013042e-02       3.005686795752e+04 
