# Matter power spectrum P(k) at redshift z=0
# for k=1.0319e-05 to 3.34583 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.031903861980e-05       4.958049480955e+01 
       2.300346584211e-05       1.079072754879e+02 
       3.573122622480e-05       1.654165574700e+02 
       4.853552577918e-05       2.226395699986e+02 
       6.145010388635e-05       2.798895052353e+02 
       7.450952506584e-05       3.374075248904e+02 
       8.774947981150e-05       3.954039738061e+02 
       1.012070983837e-04       4.540753453582e+02 
       1.149212814773e-04       5.136131550073e+02 
       1.289330517170e-04       5.742093010243e+02 
       1.432859299426e-04       6.360599508105e+02 
       1.580263402041e-04       6.993685820170e+02 
       1.732040472455e-04       7.643486051082e+02 
       1.888726299605e-04       8.312258187701e+02 
       2.050899937625e-04       9.002407994674e+02 
       2.219189239363e-04       9.716512304574e+02 
       2.394276806645e-04       1.045734402325e+03 
       2.576906343931e-04       1.122789480369e+03 
       2.767889372741e-04       1.203140103809e+03 
       2.968112223302e-04       1.287136814407e+03 
       3.178543164141e-04       1.375159323457e+03 
       3.400239456242e-04       1.467618803375e+03 
       3.634354022641e-04       1.564959747907e+03 
       3.882141304213e-04       1.667661216538e+03 
       4.144961727342e-04       1.776237519719e+03 
       4.424284042053e-04       1.891237784601e+03 
       4.721684609108e-04       2.013243722185e+03 
       5.038842539840e-04       2.142866086650e+03 
       5.377529453473e-04       2.280738173418e+03 
       5.739592558653e-04       2.427506724754e+03 
       6.126929848365e-04       2.583819746324e+03 
       6.541456488715e-04       2.750310444905e+03 
       6.985062046038e-04       2.927577802522e+03 
       7.459559069743e-04       3.116164320690e+03 
       7.966624708199e-04       3.316531312027e+03 
       8.507738371552e-04       3.529033381215e+03 
       9.084119754846e-04       3.753894891198e+03 
       9.696672499223e-04       3.991188617005e+03 
       1.034593907995e-03       4.240821450022e+03 
       1.103207193284e-03       4.502527330293e+03 
       1.175482432098e-03       4.775869032910e+03 
       1.251356221033e-03       5.060249539574e+03 
       1.330729589609e-03       5.354913921170e+03 
       1.413472783383e-03       5.659000464867e+03 
       1.499431154118e-03       5.971595425305e+03 
       1.588431579902e-03       6.291707552234e+03 
       1.680288868319e-03       6.618319672778e+03 
       1.774811696891e-03       6.950416485447e+03 
       1.871807783575e-03       7.287005617700e+03 
       1.971088123229e-03       7.627134794432e+03 
       2.072470249768e-03       7.969905282988e+03 
       2.175780575721e-03       8.314480302761e+03 
       2.280855918560e-03       8.660088329595e+03 
       2.387544351000e-03       9.006027098825e+03 
       2.495705517640e-03       9.351661929676e+03 
       2.605210550927e-03       9.696421896470e+03 
       2.715941701973e-03       1.003980044217e+04 
       2.827791781280e-03       1.038134608952e+04 
       2.940663484196e-03       1.072066382605e+04 
       3.054468657652e-03       1.105740493757e+04 
       3.169127549303e-03       1.139126752122e+04 
       3.284568067752e-03       1.172198813020e+04 
       3.400725072844e-03       1.204933822912e+04 
       3.517539707756e-03       1.237312489103e+04 
       3.634958779257e-03       1.269317754610e+04 
       3.752934188774e-03       1.300935493010e+04 
       3.871422414290e-03       1.332153667949e+04 
       3.990384041445e-03       1.362962049126e+04 
       4.109783341110e-03       1.393352540656e+04 
       4.229587890181e-03       1.423317687873e+04 
       4.349768232030e-03       1.452852122122e+04 
       4.470297573039e-03       1.481951356779e+04 
       4.591151511707e-03       1.510612083381e+04 
       4.712307797031e-03       1.538831473590e+04 
       4.833746113075e-03       1.566608026930e+04 
       4.955447886903e-03       1.593941041207e+04 
       5.077396117304e-03       1.620830419232e+04 
       5.199575222008e-03       1.647275608622e+04 
       5.321970901298e-03       1.673277863236e+04 
       5.444570016191e-03       1.698838328020e+04 
       5.567360479529e-03       1.723958516890e+04 
       5.690331158520e-03       1.748640761196e+04 
       5.813471787449e-03       1.772886609633e+04 
       5.936772889404e-03       1.796699534860e+04 
       6.060225706012e-03       1.820082132554e+04 
       6.183822134296e-03       1.843036770814e+04 
       6.307554669863e-03       1.865566696062e+04 
       6.431416355724e-03       1.887675656160e+04 
       6.555400736143e-03       1.909366096574e+04 
       6.679501814962e-03       1.930642742248e+04 
       6.803714017924e-03       1.951507511059e+04 
       6.928032158573e-03       1.971964940263e+04 
       7.052451407358e-03       1.992018373657e+04 
       7.176967263593e-03       2.011672151083e+04 
       7.301575529998e-03       2.030928723736e+04 
       7.426272289543e-03       2.049792732289e+04 
       7.551053884368e-03       2.068268991032e+04 
       7.675916896574e-03       2.086359757626e+04 
       7.800858130696e-03       2.104069679687e+04 
       7.925874597690e-03       2.121403107296e+04 
       8.050963500301e-03       2.138363417513e+04 
       8.176122219662e-03       2.154954171977e+04 
       8.301348303023e-03       2.171180559437e+04 
       8.426639452493e-03       2.187046518458e+04 
       8.551993514709e-03       2.202555498178e+04 
       8.677408471342e-03       2.217710808548e+04 
       8.802882430365e-03       2.232516661965e+04 
       8.928413618020e-03       2.246977558118e+04 
       9.054000371409e-03       2.261096590532e+04 
       9.179641131672e-03       2.274877922797e+04 
       9.305334437688e-03       2.288325159706e+04 
       9.431078920257e-03       2.301441414920e+04 
       9.556873296725e-03       2.314231341942e+04 
       9.682716366012e-03       2.326698085938e+04 
       9.808607004016e-03       2.338845092988e+04 
       9.934544159345e-03       2.350675943507e+04 
       1.006052684938e-02       2.362194244105e+04 
       1.018655415659e-02       2.373403864886e+04 
       1.031262522519e-02       2.384307406217e+04 
       1.043873925793e-02       2.394910778984e+04 
       1.056489551319e-02       2.405213990503e+04 
       1.069109330229e-02       2.415222859796e+04 
       1.081733198693e-02       2.424940774858e+04 
       1.094361097684e-02       2.434370819159e+04 
       1.106992972762e-02       2.443515643560e+04 
       1.119628773871e-02       2.452379948010e+04 
       1.132268455147e-02       2.460965237089e+04 
       1.144911974744e-02       2.469277091457e+04 
       1.157559294672e-02       2.477318237723e+04 
       1.170210380643e-02       2.485089503011e+04 
       1.182865201926e-02       2.492596457648e+04 
       1.195523731225e-02       2.499842450333e+04 
       1.208185944545e-02       2.506829331197e+04 
       1.220851821085e-02       2.513561595082e+04 
       1.233521343132e-02       2.520040911341e+04 
       1.246194495958e-02       2.526271637003e+04 
